GEO.id,GEO.id2,GEO.display-label,D001,D002,D005,D006,D007,D008,D009,D010
Id,Id2,Geography,Total:,Hispanic or Latino,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Population of one race: - Some Other Race alone
1000000US440010301002006,4.40E+14,"Block 2006, Block Group 2, Census Tract 301, Bristol County, Rhode Island",23,0,23,0,0,0,0,0
1000000US440010301002007,4.40E+14,"Block 2007, Block Group 2, Census Tract 301, Bristol County, Rhode Island",17,0,17,0,0,0,0,0
1000000US440010301002008,4.40E+14,"Block 2008, Block Group 2, Census Tract 301, Bristol County, Rhode Island",20,0,20,0,0,0,0,0
1000000US440010301002009,4.40E+14,"Block 2009, Block Group 2, Census Tract 301, Bristol County, Rhode Island",8,0,8,0,0,0,0,0
1000000US440010301002010,4.40E+14,"Block 2010, Block Group 2, Census Tract 301, Bristol County, Rhode Island",18,0,18,0,0,0,0,0
1000000US440010301002011,4.40E+14,"Block 2011, Block Group 2, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301002012,4.40E+14,"Block 2012, Block Group 2, Census Tract 301, Bristol County, Rhode Island",10,0,9,0,0,1,0,0
1000000US440010301002013,4.40E+14,"Block 2013, Block Group 2, Census Tract 301, Bristol County, Rhode Island",36,0,34,0,0,2,0,0
1000000US440010301002014,4.40E+14,"Block 2014, Block Group 2, Census Tract 301, Bristol County, Rhode Island",18,0,17,0,0,1,0,0
1000000US440010301002015,4.40E+14,"Block 2015, Block Group 2, Census Tract 301, Bristol County, Rhode Island",32,0,32,0,0,0,0,0
1000000US440010301002016,4.40E+14,"Block 2016, Block Group 2, Census Tract 301, Bristol County, Rhode Island",31,0,30,0,0,0,0,0
1000000US440010301002017,4.40E+14,"Block 2017, Block Group 2, Census Tract 301, Bristol County, Rhode Island",15,0,15,0,0,0,0,0
1000000US440010301002018,4.40E+14,"Block 2018, Block Group 2, Census Tract 301, Bristol County, Rhode Island",8,0,8,0,0,0,0,0
1000000US440010301002019,4.40E+14,"Block 2019, Block Group 2, Census Tract 301, Bristol County, Rhode Island",21,0,21,0,0,0,0,0
1000000US440010301002020,4.40E+14,"Block 2020, Block Group 2, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301002021,4.40E+14,"Block 2021, Block Group 2, Census Tract 301, Bristol County, Rhode Island",66,2,59,0,0,3,0,0
1000000US440010301002022,4.40E+14,"Block 2022, Block Group 2, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301003000,4.40E+14,"Block 3000, Block Group 3, Census Tract 301, Bristol County, Rhode Island",207,2,202,0,0,2,0,0
1000000US440010301003001,4.40E+14,"Block 3001, Block Group 3, Census Tract 301, Bristol County, Rhode Island",33,1,32,0,0,0,0,0
1000000US440010301003002,4.40E+14,"Block 3002, Block Group 3, Census Tract 301, Bristol County, Rhode Island",12,0,12,0,0,0,0,0
1000000US440010301003003,4.40E+14,"Block 3003, Block Group 3, Census Tract 301, Bristol County, Rhode Island",17,0,17,0,0,0,0,0
1000000US440010301003004,4.40E+14,"Block 3004, Block Group 3, Census Tract 301, Bristol County, Rhode Island",17,0,17,0,0,0,0,0
1000000US440010301003005,4.40E+14,"Block 3005, Block Group 3, Census Tract 301, Bristol County, Rhode Island",26,0,26,0,0,0,0,0
1000000US440010301003006,4.40E+14,"Block 3006, Block Group 3, Census Tract 301, Bristol County, Rhode Island",32,0,32,0,0,0,0,0
