county,office,district,party,candidate,votes
Bristol,U.S. House,1,NON,WRITE-IN,22
Bristol,State Senate,10,,Total,3717
Bristol,State Senate,10,DEM,"Walter S. Felag, Jr.",2614
Bristol,State Senate,10,Ind,Jarrod E. Hazard,1088
Bristol,State Senate,10,NON,WRITE-IN,15
Bristol,State Senate,11,,Total,2419
Bristol,State Senate,11,DEM,James Arthur Seveney,1372
Bristol,State Senate,11,REP,"John A. Pagliarini, Jr.",1039
Bristol,State Senate,11,NON,WRITE-IN,8
Bristol,State Senate,32,,Total,3480
Bristol,State Senate,32,DEM,Cynthia Armour Coyne,1925
Bristol,State Senate,32,REP,James A. Kazounis,1542
Bristol,State Senate,32,NON,WRITE-IN,13
Bristol,State House,68,,Total,4780
Bristol,State House,68,DEM,Kenneth A. Marshall,2996
Bristol,State House,68,Lib,"William James Hunt, Jr.",1771
Bristol,State House,68,NON,WRITE-IN,13
Bristol,State House,69,,Total,4979
Bristol,State House,69,DEM,Susan R. Donovan,2440
Bristol,State House,69,REP,Antonio F. Avila,1765
Bristol,State House,69,Lib,Analee A. Berretto,767
Bristol,State House,69,NON,WRITE-IN,7
Bristol,Town Administrator Town of Bristol,,,Total,9761
Bristol,Town Administrator Town of Bristol,,Ind,Steven Contente,4890
Bristol,Town Administrator Town of Bristol,,Ind,Antonio A. Teixeira,4849
Bristol,Town Administrator Town of Bristol,,NON,WRITE-IN,22
Bristol,Town Clerk Town of Bristol,,,Total,8441
Bristol,Town Clerk Town of Bristol,,REP,Louis P. Cirillo,8327
Bristol,Town Clerk Town of Bristol,,NON,WRITE-IN,114
Bristol,Town Council Town of Bristol,,,Total,42143
Bristol,Town Council Town of Bristol,,DEM,Timothy Edward Sweeney,5628
Bristol,Town Council Town of Bristol,,DEM,Andrew T. Tyska,5368
Bristol,Town Council Town of Bristol,,DEM,Nathan T. Calouro,5367
Bristol,Town Council Town of Bristol,,REP,Mary A. Parella,5185
Bristol,Town Council Town of Bristol,,DEM,"Edward P. Stuart, Jr.",4741
Bristol,Town Council Town of Bristol,,REP,Patrick M. McCarthy,4251
Bristol,Town Council Town of Bristol,,DEM,Aaron John Ley,4137
Bristol,Town Council Town of Bristol,,Ind,Ann S. Gardner,3990
Bristol,Town Council Town of Bristol,,REP,Marco Capaldi,3353
Bristol,Town Council Town of Bristol,,NON,WRITE-IN,123
Bristol,Non-Partisan Regional School Committee Town of Bristol,,,Total,20758
Bristol,Non-Partisan Regional School Committee Town of Bristol,,NON,Marjorie J. McBride,4474
Bristol,Non-Partisan Regional School Committee Town of Bristol,,NON,Adam M. Ramos,4077
Bristol,Non-Partisan Regional School Committee Town of Bristol,,NON,Brian Reid Bradshaw,3348
Bristol,Non-Partisan Regional School Committee Town of Bristol,,NON,Lisa Raposo LaBollita,3252
Bristol,Non-Partisan Regional School Committee Town of Bristol,,NON,R. Andrew Benn,2992
Bristol,Non-Partisan Regional School Committee Town of Bristol,,NON,Dessie L. Wainwright,2538
Bristol,Non-Partisan Regional School Committee Town of Bristol,,NON,WRITE-IN,77
Bristol,1. STATE CONSTITUTIONAL APPROVAL,,,Total,9821
Bristol,1. STATE CONSTITUTIONAL APPROVAL,,NON,Approve,5737
Bristol,1. STATE CONSTITUTIONAL APPROVAL,,NON,Reject,4084
Bristol,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,,Total,9334
Bristol,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Approve,7431
Bristol,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Reject,1903
Bristol,"3. VETERANS HOME BONDS - $27,000,000",,,Total,9760
Bristol,"3. VETERANS HOME BONDS - $27,000,000",,NON,Approve,8042
Bristol,"3. VETERANS HOME BONDS - $27,000,000",,NON,Reject,1718
Bristol,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,,Total,9492
Bristol,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Approve,5093
Bristol,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Reject,4399
Bristol,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,,Total,9366
Bristol,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Approve,5523
Bristol,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Reject,3843
Bristol,"6. GREEN ECONOMY BONDS - $35,000,000",,,Total,9495
Bristol,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Approve,6351
Bristol,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Reject,3144
Bristol,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,,Total,9509
Bristol,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Approve,5118
Bristol,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Reject,4391
Bristol,"8. CAPITAL IMPROVEMENT PROJECTS $17,000,000",,,Total,9362
Bristol,"8. CAPITAL IMPROVEMENT PROJECTS $17,000,000",,NON,Approve,6460
Bristol,"8. CAPITAL IMPROVEMENT PROJECTS $17,000,000",,NON,Reject,2902
Burrillville,President,,,Total,7270
Burrillville,President,,REP,Donald J. Trump,4139
Burrillville,President,,DEM,Hillary Clinton,2558
Burrillville,President,,Lib,Gary Johnson,295
Burrillville,President,,NON,WRITE-IN,155
Burrillville,President,,Grn,Jill Stein,109
Burrillville,President,,AMD,Rocky De La Fuente,14
Burrillville,U.S. House,2,,Total,6750
Burrillville,U.S. House,2,DEM,James R. Langevin,3401
Burrillville,U.S. House,2,REP,Rhue R. Reis,2496
Burrillville,U.S. House,2,Ind,Jeffrey C. Johnson,653
Burrillville,U.S. House,2,Ind,Salvatore G. Caiozzo,188
Burrillville,U.S. House,2,NON,WRITE-IN,12
Burrillville,State Senate,23,,Total,6885
Burrillville,State Senate,23,DEM,Paul W. Fogarty,3956
Burrillville,State Senate,23,REP,Stephen N. Rawson,2915
Burrillville,State Senate,23,NON,WRITE-IN,14
Burrillville,State House,47,,Total,5746
Burrillville,State House,47,DEM,Cale P. Keable,2947
Burrillville,State House,47,REP,David J. Place,2780
Burrillville,State House,47,NON,WRITE-IN,19
Burrillville,State House,48,,Total,983
Burrillville,State House,48,REP,Brian C. Newberry,962
Burrillville,State House,48,NON,WRITE-IN,21
Burrillville,Town Council Town of Burrillville,,,Total,17780
Burrillville,Town Council Town of Burrillville,,REP,Raymond J. Trinque,3483
Burrillville,Town Council Town of Burrillville,,REP,"John F. Pacheco, III",3131
Burrillville,Town Council Town of Burrillville,,DEM,Jeremy P. Bailey,2706
Burrillville,Town Council Town of Burrillville,,Ind,John Anthony Scott,2050
Burrillville,Town Council Town of Burrillville,,Ind,James Harrison Libby,1994
Burrillville,Town Council Town of Burrillville,,DEM,Michael J. Dutilly,1749
Burrillville,Town Council Town of Burrillville,,DEM,James H. Alix,1605
Burrillville,Town Council Town of Burrillville,,Ind,"David J. LaCroix, Jr.",1029
Burrillville,Town Council Town of Burrillville,,NON,WRITE-IN,33
Burrillville,Non-Partisan School Committee Town of Burrillville,,,Total,20534
Burrillville,Non-Partisan School Committee Town of Burrillville,,NON,Dorothy A. Cardon,3802
Burrillville,Non-Partisan School Committee Town of Burrillville,,NON,Mark S. Brizard,3640
Burrillville,Non-Partisan School Committee Town of Burrillville,,NON,"John Michael Karmozyn, Jr.",3584
Burrillville,Non-Partisan School Committee Town of Burrillville,,NON,Donison L. Allen,3335
Burrillville,Non-Partisan School Committee Town of Burrillville,,NON,Mary Margaret Karmozyn,3186
Burrillville,Non-Partisan School Committee Town of Burrillville,,NON,"Victor Bevilacqua, Jr.",2903
Burrillville,Non-Partisan School Committee Town of Burrillville,,NON,WRITE-IN,84
Burrillville,1. STATE CONSTITUTIONAL APPROVAL,,,Total,6936
Burrillville,1. STATE CONSTITUTIONAL APPROVAL,,NON,Approve,4128
Burrillville,1. STATE CONSTITUTIONAL APPROVAL,,NON,Reject,2808
Burrillville,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,,Total,6575
Burrillville,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Approve,4850
Burrillville,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Reject,1725
Burrillville,"3. VETERANS HOME BONDS - $27,000,000",,,Total,6770
Burrillville,"3. VETERANS HOME BONDS - $27,000,000",,NON,Approve,5634
Burrillville,"3. VETERANS HOME BONDS - $27,000,000",,NON,Reject,1136
Burrillville,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,,Total,6751
Burrillville,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Reject,3542
Burrillville,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Approve,3209
Burrillville,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,,Total,6674
Burrillville,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Approve,3800
Burrillville,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Reject,2874
Burrillville,"6. GREEN ECONOMY BONDS - $35,000,000",,,Total,6733
Burrillville,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Approve,4154
Burrillville,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Reject,2579
Burrillville,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,,Total,6715
Burrillville,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Reject,3932
Burrillville,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Approve,2783
Burrillville,8. INCREASES TIMEFRAME TO HOLDING RECALL ELECTION,,,Total,6204
Burrillville,8. INCREASES TIMEFRAME TO HOLDING RECALL ELECTION,,NON,Approve,4417
Burrillville,8. INCREASES TIMEFRAME TO HOLDING RECALL ELECTION,,NON,Reject,1787
Burrillville,9. PAYMENT BY TOWN BY MEANS OTHER THAN BY CHECK,,,Total,6677
Burrillville,9. PAYMENT BY TOWN BY MEANS OTHER THAN BY CHECK,,NON,Approve,5365
Burrillville,9. PAYMENT BY TOWN BY MEANS OTHER THAN BY CHECK,,NON,Reject,1312
Burrillville,10. BUDGET SCHEDULE AND PROCEDURE,,,Total,6496
Burrillville,10. BUDGET SCHEDULE AND PROCEDURE,,NON,Approve,5618
Burrillville,10. BUDGET SCHEDULE AND PROCEDURE,,NON,Reject,878
Burrillville,11. DEPARTMENT OF PLANNING AND DEVELOPMENT,,,Total,6324
Burrillville,11. DEPARTMENT OF PLANNING AND DEVELOPMENT,,NON,Approve,4467
Burrillville,11. DEPARTMENT OF PLANNING AND DEVELOPMENT,,NON,Reject,1857
Burrillville,12. SEALER OF WEIGHTS AND MEASURES,,,Total,6325
Burrillville,12. SEALER OF WEIGHTS AND MEASURES,,NON,Approve,4760
Burrillville,12. SEALER OF WEIGHTS AND MEASURES,,NON,Reject,1565
Burrillville,13. DEPARTMENT OF PUBLIC WELFARE,,,Total,6437
Burrillville,13. DEPARTMENT OF PUBLIC WELFARE,,NON,Approve,4824
Burrillville,13. DEPARTMENT OF PUBLIC WELFARE,,NON,Reject,1613
Burrillville,14. DUTIES OF TOWN SOLICITOR,,,Total,6449
Burrillville,14. DUTIES OF TOWN SOLICITOR,,NON,Approve,3829
Burrillville,14. DUTIES OF TOWN SOLICITOR,,NON,Reject,2620
Central Falls,President,,,Total,4236
Central Falls,President,,DEM,Hillary Clinton,3394
Central Falls,President,,REP,Donald J. Trump,657
Central Falls,President,,Lib,Gary Johnson,86
Central Falls,President,,NON,WRITE-IN,56
Central Falls,President,,Grn,Jill Stein,40
Central Falls,President,,AMD,Rocky De La Fuente,3
Central Falls,U.S. House,1,,Total,3680
Central Falls,U.S. House,1,DEM,David N. Cicilline,3115
Central Falls,U.S. House,1,REP,Harold Russell Taub,537
Central Falls,U.S. House,1,NON,WRITE-IN,28
Central Falls,State Senate,16,,Total,3377
Central Falls,State Senate,16,DEM,Elizabeth A. Crowley,3285
Central Falls,State Senate,16,NON,WRITE-IN,92
Central Falls,State House,56,,Total,2243
Central Falls,State House,56,DEM,Shelby Maldonado,2205
Central Falls,State House,56,NON,WRITE-IN,38
Central Falls,State House,57,,Total,911
Central Falls,State House,57,DEM,James N. McLaughlin,889
Central Falls,State House,57,NON,WRITE-IN,22
Central Falls,Mayor City of Central Falls,,,Total,3975
Central Falls,Mayor City of Central Falls,,NON,James A. Diossa,3512
Central Falls,Mayor City of Central Falls,,NON,Tia Ristaino-Siegel,453
Central Falls,Mayor City of Central Falls,,NON,WRITE-IN,10
Central Falls,City Council - At Large City of Central Falls,,,Total,3777
Central Falls,City Council - At Large City of Central Falls,,NON,Carlene Patricia Fonseca,2022
Central Falls,City Council - At Large City of Central Falls,,NON,L. Maria Rivera,1699
Central Falls,City Council - At Large City of Central Falls,,NON,WRITE-IN,56
Central Falls,City Council Central Falls Ward 1,,,Total,592
Central Falls,City Council Central Falls Ward 1,,NON,Jonathon Acosta,581
Central Falls,City Council Central Falls Ward 1,,NON,WRITE-IN,11
Central Falls,City Council Central Falls Ward 2,,,Total,609
Central Falls,City Council Central Falls Ward 2,,NON,Robert A. Ferri,586
Central Falls,City Council Central Falls Ward 2,,NON,WRITE-IN,23
Central Falls,City Council Central Falls Ward 3,,,Total,590
Central Falls,City Council Central Falls Ward 3,,NON,Hugo A. Figueroa,580
Central Falls,City Council Central Falls Ward 3,,NON,WRITE-IN,10
Central Falls,City Council Central Falls Ward 4,,,Total,645
Central Falls,City Council Central Falls Ward 4,,NON,Franklin Solano,637
Central Falls,City Council Central Falls Ward 4,,NON,WRITE-IN,8
Central Falls,City Council Central Falls Ward 5,,,Total,737
Central Falls,City Council Central Falls Ward 5,,NON,Thomas Lazieh,364
Central Falls,City Council Central Falls Ward 5,,NON,Kenneth A. Vaudreuil,363
Central Falls,City Council Central Falls Ward 5,,NON,WRITE-IN,10
Central Falls,1. STATE CONSTITUTIONAL APPROVAL,,,Total,3079
Central Falls,1. STATE CONSTITUTIONAL APPROVAL,,NON,Approve,2116
Central Falls,1. STATE CONSTITUTIONAL APPROVAL,,NON,Reject,963
Central Falls,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,,Total,2962
Central Falls,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Approve,2307
Central Falls,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Reject,655
Central Falls,"3. VETERANS HOME BONDS - $27,000,000",,,Total,3101
Central Falls,"3. VETERANS HOME BONDS - $27,000,000",,NON,Approve,2795
Central Falls,"3. VETERANS HOME BONDS - $27,000,000",,NON,Reject,306
Central Falls,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,,Total,3119
Central Falls,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Approve,2519
Central Falls,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Reject,600
Central Falls,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,,Total,3482
Central Falls,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Approve,2599
Central Falls,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Reject,883
Central Falls,"6. GREEN ECONOMY BONDS - $35,000,000",,,Total,3495
Central Falls,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Approve,2965
Central Falls,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Reject,530
Central Falls,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,,Total,3697
Central Falls,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Approve,3168
Central Falls,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Reject,529
Charlestown,President,,,Total,4443
Charlestown,President,,DEM,Hillary Clinton,2207
Charlestown,President,,REP,Donald J. Trump,1906
Charlestown,President,,Lib,Gary Johnson,183
Charlestown,President,,NON,WRITE-IN,86
Charlestown,President,,Grn,Jill Stein,56
Charlestown,President,,AMD,Rocky De La Fuente,5
Charlestown,U.S. House,2,,Total,4151
Charlestown,U.S. House,2,DEM,James R. Langevin,2232
Charlestown,U.S. House,2,REP,Rhue R. Reis,1444
Charlestown,U.S. House,2,Ind,Jeffrey C. Johnson,359
Charlestown,U.S. House,2,Ind,Salvatore G. Caiozzo,112
Charlestown,U.S. House,2,NON,WRITE-IN,4
Charlestown,State Senate,34,,Total,2306
Charlestown,State Senate,34,DEM,Catherine Cool Rumsey,1200
Charlestown,State Senate,34,REP,Elaine J. Morgan,1104
Charlestown,State Senate,34,NON,WRITE-IN,2
Charlestown,State Senate,38,,Total,1460
Charlestown,State Senate,38,REP,Dennis L. Algiere,1414
Charlestown,State Senate,38,NON,WRITE-IN,46
Charlestown,State House,36,,Total,3594
Charlestown,State House,36,Ind,Blake A. Filippi,3545
Charlestown,State House,36,NON,WRITE-IN,49
Charlestown,Town Moderator Town of Charlestown,,,Total,3240
Charlestown,Town Moderator Town of Charlestown,,Ind,Leone D. Mainelli,3205
Charlestown,Town Moderator Town of Charlestown,,NON,WRITE-IN,35
Charlestown,Town Council Town of Charlestown,,,Total,14767
Charlestown,Town Council Town of Charlestown,,Ind,Virginia Lee,2637
Charlestown,Town Council Town of Charlestown,,Ind,Denise L. Rhodes,2574
Charlestown,Town Council Town of Charlestown,,Ind,Julie A. Carroccia,2524
Charlestown,Town Council Town of Charlestown,,Ind,Steven J. Williams,2513
Charlestown,Town Council Town of Charlestown,,Ind,Bonnita B. Van Slyke,2427
Charlestown,Town Council Town of Charlestown,,DEM,Robert L. Malin,1986
Charlestown,Town Council Town of Charlestown,,NON,WRITE-IN,106
Charlestown,Chariho School Committee Town of Charlestown,,,Total,3227
Charlestown,Chariho School Committee Town of Charlestown,,Ind,Stephen M. Huzyk,3184
Charlestown,Chariho School Committee Town of Charlestown,,NON,WRITE-IN,43
Charlestown,Non-Partisan Planning Commission Town of Charlestown,,,Total,9939
Charlestown,Non-Partisan Planning Commission Town of Charlestown,,NON,Lewis E. Johnson,2633
Charlestown,Non-Partisan Planning Commission Town of Charlestown,,NON,Sherry D. Krupka,2451
Charlestown,Non-Partisan Planning Commission Town of Charlestown,,NON,Erin P. Russell,2435
Charlestown,Non-Partisan Planning Commission Town of Charlestown,,NON,Frances M. Topping,2355
Charlestown,Non-Partisan Planning Commission Town of Charlestown,,NON,WRITE-IN,65
Charlestown,1. STATE CONSTITUTIONAL APPROVAL,,,Total,4197
Charlestown,1. STATE CONSTITUTIONAL APPROVAL,,NON,Reject,2435
Charlestown,1. STATE CONSTITUTIONAL APPROVAL,,NON,Approve,1762
Charlestown,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,,Total,4023
Charlestown,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Approve,3119
Charlestown,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Reject,904
Charlestown,"3. VETERANS HOME BONDS - $27,000,000",,,Total,4187
Charlestown,"3. VETERANS HOME BONDS - $27,000,000",,NON,Approve,3504
Charlestown,"3. VETERANS HOME BONDS - $27,000,000",,NON,Reject,683
Charlestown,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,,Total,4114
Charlestown,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Approve,2303
Charlestown,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Reject,1811
Charlestown,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,,Total,4009
Charlestown,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Approve,2505
Charlestown,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Reject,1504
Charlestown,"6. GREEN ECONOMY BONDS - $35,000,000",,,Total,4095
Charlestown,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Approve,2627
Charlestown,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Reject,1468
Charlestown,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,,Total,4037
Charlestown,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Approve,2074
Charlestown,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Reject,1963
Charlestown,8. AMENDMENT TO THE CHARLESTOWN TOWN CHARTER,,,Total,4110
Charlestown,8. AMENDMENT TO THE CHARLESTOWN TOWN CHARTER,,NON,Approve,2897
Charlestown,8. AMENDMENT TO THE CHARLESTOWN TOWN CHARTER,,NON,Reject,1213
Charlestown,9. CHARIHO REGIONAL SCHOOL DISTRICT BONDS,,,Total,4129
Charlestown,9. CHARIHO REGIONAL SCHOOL DISTRICT BONDS,,NON,Approve,2697
Charlestown,9. CHARIHO REGIONAL SCHOOL DISTRICT BONDS,,NON,Reject,1432
Coventry,President,,,Total,17514
Coventry,President,,REP,Donald J. Trump,9199
Coventry,President,,DEM,Hillary Clinton,7032
Coventry,President,,Lib,Gary Johnson,669
Coventry,President,,NON,WRITE-IN,361
Coventry,President,,Grn,Jill Stein,215
Coventry,President,,AMD,Rocky De La Fuente,38
Coventry,U.S. House,2,,Total,16738
Coventry,U.S. House,2,DEM,James R. Langevin,8777
Coventry,U.S. House,2,REP,Rhue R. Reis,6184
Coventry,U.S. House,2,Ind,Jeffrey C. Johnson,1129
Coventry,U.S. House,2,Ind,Salvatore G. Caiozzo,605
Coventry,U.S. House,2,NON,WRITE-IN,43
Coventry,State Senate,21,,Total,5248
Coventry,State Senate,21,REP,Nicholas D. Kettle,2986
Coventry,State Senate,21,DEM,Margaux S. Morisseau,2252
Coventry,State Senate,21,NON,WRITE-IN,10
Coventry,State Senate,33,,Total,11461
Coventry,State Senate,33,DEM,Leonidas P. Raptakis,5872
Coventry,State Senate,33,Ind,Scott R. Copley,5554
Coventry,State Senate,33,NON,WRITE-IN,35
Coventry,State House,25,,Total,936
Coventry,State House,25,DEM,Jared R. Nunes,900
Coventry,State House,25,NON,WRITE-IN,36
Coventry,State House,26,,Total,1556
Coventry,State House,26,REP,Patricia L. Morgan,857
Coventry,State House,26,DEM,Anthony J. Paolino,587
Coventry,State House,26,Ind,Vincent Marzullo,110
Coventry,State House,26,NON,WRITE-IN,2
Coventry,State House,27,,Total,954
Coventry,State House,27,DEM,Patricia A. Serpa,534
Coventry,State House,27,Ind,Mark E. Bourget,418
Coventry,State House,27,NON,WRITE-IN,2
Coventry,State House,28,,Total,6766
Coventry,State House,28,REP,Robert A. Nardolillo,4288
Coventry,State House,28,DEM,Ryan M. Hall,2463
Coventry,State House,28,NON,WRITE-IN,15
Coventry,State House,29,,Total,4712
Coventry,State House,29,REP,Sherry Roberts,2456
Coventry,State House,29,DEM,Lisa P. Tomasso,2250
Coventry,State House,29,NON,WRITE-IN,6
Coventry,State House,40,,Total,1364
Coventry,State House,40,REP,Michael W. Chippendale,914
Coventry,State House,40,DEM,Joseph D. Cardillo,446
Coventry,State House,40,NON,WRITE-IN,4
Coventry,Non-Partisan Town Council Coventry District 2,,,Total,3000
Coventry,Non-Partisan Town Council Coventry District 2,,NON,Gregory Laboissonniere,1834
Coventry,Non-Partisan Town Council Coventry District 2,,NON,Peter J. Mello,1144
Coventry,Non-Partisan Town Council Coventry District 2,,NON,WRITE-IN,22
