county,office,district,party,candidate,votes
Barrington,President,,,Total,9758
Barrington,President,,DEM,Hillary Clinton,6153
Barrington,President,,REP,Donald J. Trump,2898
Barrington,President,,Lib,Gary Johnson,340
Barrington,President,,NON,WRITE-IN,246
Barrington,President,,Grn,Jill Stein,110
Barrington,President,,AMD,&quot;Rocky&quot; Roque  De La Fuente,11
Barrington,U.S. House,1,,Total,9218
Barrington,U.S. House,1,DEM,David N. Cicilline,5471
Barrington,U.S. House,1,REP,Harold Russell Taub,3708
Barrington,U.S. House,1,NON,WRITE-IN,39
Barrington,State Senate,32,,Total,9438
Barrington,State Senate,32,DEM,Cynthia Armour Coyne,4924
Barrington,State Senate,32,REP,James A. Kazounis,4488
Barrington,State Senate,32,NON,WRITE-IN,26
Barrington,State House,66,,Total,4370
Barrington,State House,66,DEM,Joy S. Hearn,4199
Barrington,State House,66,NON,WRITE-IN,171
Barrington,State House,67,,Total,3780
Barrington,State House,67,DEM,Jason Knight,2619
Barrington,State House,67,Lib,Daryl Gould,952
Barrington,State House,67,NON,WRITE-IN,209
Barrington,Moderator Town of Barrington,,,Total,7596
Barrington,Moderator Town of Barrington,,DEM,Julia P. Califano,7421
Barrington,Moderator Town of Barrington,,NON,WRITE-IN,175
Barrington,Town Council Town of Barrington,,,Total,24303
Barrington,Town Council Town of Barrington,,DEM,Steven J. Boyajian,4524
Barrington,Town Council Town of Barrington,,DEM,Kate G. Weymouth,4384
Barrington,Town Council Town of Barrington,,REP,Peter N. Dennehy,3930
Barrington,Town Council Town of Barrington,,Ind,Ann P. Strong,3911
Barrington,Town Council Town of Barrington,,DEM,Melissa M. Horne,3891
Barrington,Town Council Town of Barrington,,REP,Geoffrey E. Grove,3608
Barrington,Town Council Town of Barrington,,NON,WRITE-IN,55
Barrington,School Committee Town of Barrington,,,Total,21227
Barrington,School Committee Town of Barrington,,DEM,Anna S. Clancy,5767
Barrington,School Committee Town of Barrington,,DEM,Megan P. Douglas,5245
Barrington,School Committee Town of Barrington,,Ind,Gina M. Pine,5026
Barrington,School Committee Town of Barrington,,DEM,Pamela J. Lauria,4971
Barrington,School Committee Town of Barrington,,NON,WRITE-IN,218
Barrington,1. STATE CONSTITUTIONAL APPROVAL,,,Total,9440
Barrington,1. STATE CONSTITUTIONAL APPROVAL,,NON,Reject,5211
Barrington,1. STATE CONSTITUTIONAL APPROVAL,,NON,Approve,4229
Barrington,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,,Total,9140
Barrington,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Approve,7849
Barrington,2. AMENDMENT TO THE CONSTITUTION OF THE STATE,,NON,Reject,1291
Barrington,"3. VETERANS HOME BONDS - $27,000,000",,,Total,9396
Barrington,"3. VETERANS HOME BONDS - $27,000,000",,NON,Approve,7893
Barrington,"3. VETERANS HOME BONDS - $27,000,000",,NON,Reject,1503
Barrington,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,,Total,9264
Barrington,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Approve,5861
Barrington,4. LEVERAGING HIGHER EDUCATION TO CREATE JOBS,,NON,Reject,3403
Barrington,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,,Total,9142
Barrington,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Approve,5873
Barrington,"5. PORT INFRASTRUCTURE BONDS - $70,000,000",,NON,Reject,3269
Barrington,"6. GREEN ECONOMY BONDS - $35,000,000",,,Total,9288
Barrington,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Approve,6787
Barrington,"6. GREEN ECONOMY BONDS - $35,000,000",,NON,Reject,2501
Barrington,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,,Total,9228
Barrington,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Approve,4809
Barrington,"7. HOUSING OPPORTUNITY BONDS - $50,000,000",,NON,Reject,4419
Barrington,8. CONSTRUCTION OF NEW BARRINGTON MIDDLE SCHOOL BOND,,,Total,9407
Barrington,8. CONSTRUCTION OF NEW BARRINGTON MIDDLE SCHOOL BOND,,NON,Approve,6003
Barrington,8. CONSTRUCTION OF NEW BARRINGTON MIDDLE SCHOOL BOND,,NON,Reject,3404
Bristol,President,,,Total,10665
Bristol,President,,DEM,Hillary Clinton,5771
Bristol,President,,REP,Donald J. Trump,4080
Bristol,President,,Lib,Gary Johnson,428
Bristol,President,,NON,WRITE-IN,239
Bristol,President,,Grn,Jill Stein,134
Bristol,President,,AMD,Rocky De La Fuente,13
Bristol,U.S. House,1,,Total,9679
Bristol,U.S. House,1,DEM,David N. Cicilline,5719
Bristol,U.S. House,1,REP,Harold Russell Taub,3938
