OBJECTID,STATEFP,CD115FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,Shape__Area,Shape__Length
1,44,01,4401,Congressional District 1,C2,115,G5200,N,0.0782645703859544,6.6714779856071
2,44,02,4402,Congressional District 2,C2,115,G5200,N,0.222492909759694,7.07228509617897
