county,office,district,party,candidate,votes
Barrington,Senator in Congress,,,Total,8285
Barrington,Senator in Congress,,DEM,Sheldon Whitehouse,5568
Barrington,Senator in Congress,,REP,"Robert G. Flanders, Jr.",2696
Barrington,Senator in Congress,,NON,WRITE-IN,21
Barrington,Representative in Congress District 1,,,Total,8208
Barrington,Representative in Congress District 1,,DEM,David N. Cicilline,5514
Barrington,Representative in Congress District 1,,REP,Patrick J. Donovan,2673
Barrington,Representative in Congress District 1,,NON,WRITE-IN,21
Barrington,Governor,,,Total,8268
Barrington,Governor,,DEM,Gina M. Raimondo,5376
Barrington,Governor,,REP,Allan W. Fung,2270
Barrington,Governor,,Ind,Joseph A. Trillo,266
Barrington,Governor,,MOD,William H. Gilbert,177
Barrington,Governor,,Ind,Luis Daniel Munoz,84
Barrington,Governor,,Com,Anne Armstrong,69
Barrington,Governor,,NON,WRITE-IN,26
Barrington,Lieutenant Governor,,,Total,8039
Barrington,Lieutenant Governor,,DEM,Daniel J. McKee,5265
Barrington,Lieutenant Governor,,REP,Paul E. Pence,1956
Barrington,Lieutenant Governor,,MOD,Joel J. Hellmann,458
Barrington,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,134
Barrington,Lieutenant Governor,,Ind,Ross K. McCurdy,127
Barrington,Lieutenant Governor,,NON,WRITE-IN,99
Barrington,Secretary of State,,,Total,8105
Barrington,Secretary of State,,DEM,Nellie M. Gorbea,5875
Barrington,Secretary of State,,REP,Pat V. Cortellessa,2222
Barrington,Secretary of State,,NON,WRITE-IN,8
Barrington,Attorney General,,,Total,7521
Barrington,Attorney General,,DEM,Peter F. Neronha,6474
Barrington,Attorney General,,Com,Alan Gordon,971
Barrington,Attorney General,,NON,WRITE-IN,76
Barrington,General Treasurer,,,Total,8132
Barrington,General Treasurer,,DEM,Seth Magaziner,5752
Barrington,General Treasurer,,REP,Michael G. Riley,2372
Barrington,General Treasurer,,NON,WRITE-IN,8
Barrington,Senator in General Assembly District 32,,,Total,8139
Barrington,Senator in General Assembly District 32,,DEM,Cynthia Armour Coyne,5635
Barrington,Senator in General Assembly District 32,,REP,David Aucoin,2494
Barrington,Senator in General Assembly District 32,,NON,WRITE-IN,10
Barrington,Representative in General Assembly District 66,,,Total,4647
Barrington,Representative in General Assembly District 66,,DEM,Liana M. Cassar,3049
Barrington,Representative in General Assembly District 66,,REP,Rhonda Holmes,1591
Barrington,Representative in General Assembly District 66,,NON,WRITE-IN,7
Barrington,Representative in General Assembly District 67,,,Total,3294
Barrington,Representative in General Assembly District 67,,DEM,Jason Knight,2617
Barrington,Representative in General Assembly District 67,,Lib,Daryl Gould,660
Barrington,Representative in General Assembly District 67,,NON,WRITE-IN,17
Barrington,Moderator TOWN OF BARRINGTON,,,Total,6919
Barrington,Moderator TOWN OF BARRINGTON,,DEM,Julia P. Califano,6746
Barrington,Moderator TOWN OF BARRINGTON,,NON,WRITE-IN,173
Barrington,Town Council TOWN OF BARRINGTON,,,Total,12982
Barrington,Town Council TOWN OF BARRINGTON,,DEM,Jacob N. Brier,4472
Barrington,Town Council TOWN OF BARRINGTON,,DEM,Michael W. Carroll,4418
Barrington,Town Council TOWN OF BARRINGTON,,REP,Stephen B. Primiano,4001
Barrington,Town Council TOWN OF BARRINGTON,,NON,WRITE-IN,91
Barrington,School Committee TOWN OF BARRINGTON,,,Total,17597
Barrington,School Committee TOWN OF BARRINGTON,,DEM,Gina J. Bae,5503
Barrington,School Committee TOWN OF BARRINGTON,,DEM,Erika L. Sevetson,4267
Barrington,School Committee TOWN OF BARRINGTON,,DEM,Patrick John McCrann,4226
Barrington,School Committee TOWN OF BARRINGTON,,REP,"John D. Alessandro, Jr.",3484
Barrington,School Committee TOWN OF BARRINGTON,,NON,WRITE-IN,117
Barrington,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,8021
Barrington,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,6317
Barrington,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,1704
Barrington,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,7969
Barrington,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,5165
Barrington,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,2804
Barrington,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,8028
Barrington,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,6748
Barrington,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,1280
Barrington,4. TOWN COUNCIL MEETINGS TOWN OF BARRINGTON,,,Total,7777
Barrington,4. TOWN COUNCIL MEETINGS TOWN OF BARRINGTON,,NON,Approve,6955
Barrington,4. TOWN COUNCIL MEETINGS TOWN OF BARRINGTON,,NON,Reject,822
Barrington,5. COMMISSION OF CEMETERIES AND BURIAL GROUNDS,,,Total,7772
Barrington,5. COMMISSION OF CEMETERIES AND BURIAL GROUNDS,,NON,Approve,5548
Barrington,5. COMMISSION OF CEMETERIES AND BURIAL GROUNDS,,NON,Reject,2224
Barrington,6. DEPARTMENT OF PUBLIC WORKS TOWN OF BARRINGTON,,,Total,7828
Barrington,6. DEPARTMENT OF PUBLIC WORKS TOWN OF BARRINGTON,,NON,Approve,6098
Barrington,6. DEPARTMENT OF PUBLIC WORKS TOWN OF BARRINGTON,,NON,Reject,1730
Bristol,Senator in Congress,,,Total,8956
Bristol,Senator in Congress,,DEM,Sheldon Whitehouse,5410
Bristol,Senator in Congress,,REP,"Robert G. Flanders, Jr.",3527
Bristol,Senator in Congress,,NON,WRITE-IN,19
Bristol,Representative in Congress District 1,,,Total,8918
Bristol,Representative in Congress District 1,,DEM,David N. Cicilline,5468
Bristol,Representative in Congress District 1,,REP,Patrick J. Donovan,3437
Bristol,Representative in Congress District 1,,NON,WRITE-IN,13
Bristol,Governor,,,Total,8922
Bristol,Governor,,DEM,Gina M. Raimondo,4778
Bristol,Governor,,REP,Allan W. Fung,3115
Bristol,Governor,,Ind,Joseph A. Trillo,510
Bristol,Governor,,MOD,William H. Gilbert,258
Bristol,Governor,,Ind,Luis Daniel Munoz,125
Bristol,Governor,,Com,Anne Armstrong,104
Bristol,Governor,,NON,WRITE-IN,32
Bristol,Lieutenant Governor,,,Total,8581
Bristol,Lieutenant Governor,,DEM,Daniel J. McKee,5210
Bristol,Lieutenant Governor,,REP,Paul E. Pence,2479
Bristol,Lieutenant Governor,,MOD,Joel J. Hellmann,295
Bristol,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,255
Bristol,Lieutenant Governor,,Ind,Ross K. McCurdy,205
Bristol,Lieutenant Governor,,NON,WRITE-IN,137
Bristol,Secretary of State,,,Total,8693
Bristol,Secretary of State,,DEM,Nellie M. Gorbea,5909
Bristol,Secretary of State,,REP,Pat V. Cortellessa,2774
Bristol,Secretary of State,,NON,WRITE-IN,10
Bristol,Attorney General,,,Total,8132
Bristol,Attorney General,,DEM,Peter F. Neronha,6598
Bristol,Attorney General,,Com,Alan Gordon,1482
Bristol,Attorney General,,NON,WRITE-IN,52
Bristol,General Treasurer,,,Total,8743
Bristol,General Treasurer,,DEM,Seth Magaziner,5966
Bristol,General Treasurer,,REP,Michael G. Riley,2769
Bristol,General Treasurer,,NON,WRITE-IN,8
Bristol,Senator in General Assembly District 10,,,Total,2918
Bristol,Senator in General Assembly District 10,,DEM,"Walter S. Felag, Jr.",2846
Bristol,Senator in General Assembly District 10,,NON,WRITE-IN,72
Bristol,Senator in General Assembly District 11,,,Total,2172
Bristol,Senator in General Assembly District 11,,DEM,James Arthur Seveney,1400
Bristol,Senator in General Assembly District 11,,REP,Stephanie L. Calise,771
Bristol,Senator in General Assembly District 11,,NON,WRITE-IN,1
Bristol,Senator in General Assembly District 32,,,Total,3129
Bristol,Senator in General Assembly District 32,,DEM,Cynthia Armour Coyne,2008
Bristol,Senator in General Assembly District 32,,REP,David Aucoin,1117
Bristol,Senator in General Assembly District 32,,NON,WRITE-IN,4
Bristol,Representative in General Assembly District 68,,,Total,4213
Bristol,Representative in General Assembly District 68,,DEM,Laufton Ascencao,2683
Bristol,Representative in General Assembly District 68,,Lib,"William James Hunt, Jr.",1503
Bristol,Representative in General Assembly District 68,,NON,WRITE-IN,27
Bristol,Representative in General Assembly District 69,,,Total,4355
Bristol,Representative in General Assembly District 69,,DEM,Susan R. Donovan,2370
Bristol,Representative in General Assembly District 69,,Ind,Douglas W. Gablinske,1975
Bristol,Representative in General Assembly District 69,,NON,WRITE-IN,10
Bristol,Town Administrator TOWN OF BRISTOL,,,Total,7736
Bristol,Town Administrator TOWN OF BRISTOL,,Ind,Steven Contente,7548
Bristol,Town Administrator TOWN OF BRISTOL,,NON,WRITE-IN,188
Bristol,Town Clerk TOWN OF BRISTOL,,,Total,8919
Bristol,Town Clerk TOWN OF BRISTOL,,REP,Louis P. Cirillo,4689
Bristol,Town Clerk TOWN OF BRISTOL,,DEM,Melissa Cordeiro,4224
Bristol,Town Clerk TOWN OF BRISTOL,,NON,WRITE-IN,6
Bristol,Town Council TOWN OF BRISTOL,,,Total,38627
Bristol,Town Council TOWN OF BRISTOL,,DEM,Nathan T. Calouro,5044
Bristol,Town Council TOWN OF BRISTOL,,DEM,Timothy Edward Sweeney,4855
Bristol,Town Council TOWN OF BRISTOL,,Ind,Antonio A. Teixeira,4804
Bristol,Town Council TOWN OF BRISTOL,,REP,Mary A. Parella,4516
Bristol,Town Council TOWN OF BRISTOL,,DEM,Aaron J. Ley,4430
Bristol,Town Council TOWN OF BRISTOL,,REP,Patrick M. McCarthy,3552
Bristol,Town Council TOWN OF BRISTOL,,DEM,Carolyn P. Medina,3339
Bristol,Town Council TOWN OF BRISTOL,,REP,Thomas M. Carroll,3062
Bristol,Town Council TOWN OF BRISTOL,,DEM,Ethan M. Tucker,2868
Bristol,Town Council TOWN OF BRISTOL,,REP,William L. Sousa Grapentine,2097
Bristol,Town Council TOWN OF BRISTOL,,NON,WRITE-IN,60
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,,Total,20975
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Carly Reich,3499
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,"Victor G. Cabral, Jr.",2786
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Sheila O. Ellsworth,2638
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Diane B. Campbell,2502
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Paul Silva,2311
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Andrew Benn,2201
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,"Patrick Usher, Jr.",2071
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,Robert D. Hancock,1708
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,William M. O&#39;Dell,1209
Bristol,Non-Partisan Regional School Committee TOWN OF BRISTOL,,NON,WRITE-IN,50
Bristol,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,8614
Bristol,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,6580
Bristol,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,2034
Bristol,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,8537
Bristol,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,4805
Bristol,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,3732
Bristol,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,8587
Bristol,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,6797
Bristol,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,1790
Burrillville,Senator in Congress,,,Total,6033
Burrillville,Senator in Congress,,REP,"Robert G. Flanders, Jr.",3366
Burrillville,Senator in Congress,,DEM,Sheldon Whitehouse,2656
Burrillville,Senator in Congress,,NON,WRITE-IN,11
Burrillville,Representative in Congress District 2,,,Total,5959
Burrillville,Representative in Congress District 2,,DEM,James R. Langevin,3117
Burrillville,Representative in Congress District 2,,REP,Salvatore G. Caiozzo,2831
Burrillville,Representative in Congress District 2,,NON,WRITE-IN,11
Burrillville,Governor,,,Total,6025
Burrillville,Governor,,REP,Allan W. Fung,3364
Burrillville,Governor,,DEM,Gina M. Raimondo,1880
Burrillville,Governor,,Ind,Joseph A. Trillo,358
Burrillville,Governor,,MOD,William H. Gilbert,210
Burrillville,Governor,,Ind,Luis Daniel Munoz,105
Burrillville,Governor,,Com,Anne Armstrong,90
Burrillville,Governor,,NON,WRITE-IN,18
Burrillville,Lieutenant Governor,,,Total,5876
Burrillville,Lieutenant Governor,,DEM,Daniel J. McKee,2730
Burrillville,Lieutenant Governor,,REP,Paul E. Pence,2571
Burrillville,Lieutenant Governor,,Ind,Ross K. McCurdy,222
Burrillville,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,190
Burrillville,Lieutenant Governor,,MOD,Joel J. Hellmann,152
Burrillville,Lieutenant Governor,,NON,WRITE-IN,11
Burrillville,Secretary of State,,,Total,5860
Burrillville,Secretary of State,,DEM,Nellie M. Gorbea,3056
Burrillville,Secretary of State,,REP,Pat V. Cortellessa,2799
Burrillville,Secretary of State,,NON,WRITE-IN,5
Burrillville,Attorney General,,,Total,5395
Burrillville,Attorney General,,DEM,Peter F. Neronha,3539
Burrillville,Attorney General,,Com,Alan Gordon,1784
Burrillville,Attorney General,,NON,WRITE-IN,72
Burrillville,General Treasurer,,,Total,5840
Burrillville,General Treasurer,,DEM,Seth Magaziner,2934
Burrillville,General Treasurer,,REP,Michael G. Riley,2896
Burrillville,General Treasurer,,NON,WRITE-IN,10
Burrillville,Senator in General Assembly District 23,,,Total,5970
Burrillville,Senator in General Assembly District 23,,REP,Jessica de la Cruz,3198
Burrillville,Senator in General Assembly District 23,,DEM,Kevin D. Heitke,2764
Burrillville,Senator in General Assembly District 23,,NON,WRITE-IN,8
Burrillville,Representative in General Assembly District 47,,,Total,4957
Burrillville,Representative in General Assembly District 47,,REP,David J. Place,2789
Burrillville,Representative in General Assembly District 47,,DEM,Cale P. Keable,2149
Burrillville,Representative in General Assembly District 47,,NON,WRITE-IN,19
Burrillville,Representative in General Assembly District 48,,,Total,824
Burrillville,Representative in General Assembly District 48,,REP,Brian C. Newberry,790
Burrillville,Representative in General Assembly District 48,,NON,WRITE-IN,34
Burrillville,Town Council TOWN OF BURRILLVILLE,,,Total,21465
Burrillville,Town Council TOWN OF BURRILLVILLE,,REP,Donald A. Fox,2845
Burrillville,Town Council TOWN OF BURRILLVILLE,,DEM,Amanda K. Gingell,2570
Burrillville,Town Council TOWN OF BURRILLVILLE,,REP,Stephen N. Rawson,2328
Burrillville,Town Council TOWN OF BURRILLVILLE,,REP,Dennis M. Anderson,2163
Burrillville,Town Council TOWN OF BURRILLVILLE,,DEM,Scott Anthony Cardon,2087
Burrillville,Town Council TOWN OF BURRILLVILLE,,DEM,Cynthia J. Lussier,2066
Burrillville,Town Council TOWN OF BURRILLVILLE,,DEM,Michael R. Lamoureux,2051
Burrillville,Town Council TOWN OF BURRILLVILLE,,REP,Justin P. Batalon,1866
Burrillville,Town Council TOWN OF BURRILLVILLE,,Ind,Mark A. St. Pierre,1443
Burrillville,Town Council TOWN OF BURRILLVILLE,,Ind,John Anthony Scott,1220
Burrillville,Town Council TOWN OF BURRILLVILLE,,Ind,Matthew J. Zanni,808
Burrillville,Town Council TOWN OF BURRILLVILLE,,NON,WRITE-IN,18
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,,Total,20949
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,Silvia A. St. Pierre,3879
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,Alexandra LeClair,3801
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,Terri A. Lacey,3689
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,Donison L. Allen,3339
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,Sean M. Bouzan,3133
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,"Victor Bevilacqua, Jr.",3027
Burrillville,Non-Partisan School Committee TOWN OF BURRILLVILLE,,NON,WRITE-IN,81
Burrillville,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,5713
Burrillville,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,3840
Burrillville,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,1873
Burrillville,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,5660
Burrillville,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,3185
Burrillville,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,2475
Burrillville,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,5695
Burrillville,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,4085
Burrillville,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,1610
Central Falls,Senator in Congress,,,Total,2524
Central Falls,Senator in Congress,,DEM,Sheldon Whitehouse,2135
Central Falls,Senator in Congress,,REP,"Robert G. Flanders, Jr.",377
Central Falls,Senator in Congress,,NON,WRITE-IN,12
Central Falls,Representative in Congress District 1,,,Total,2532
Central Falls,Representative in Congress District 1,,DEM,David N. Cicilline,2143
Central Falls,Representative in Congress District 1,,REP,Patrick J. Donovan,377
Central Falls,Representative in Congress District 1,,NON,WRITE-IN,12
Central Falls,Governor,,,Total,2561
Central Falls,Governor,,DEM,Gina M. Raimondo,1936
Central Falls,Governor,,REP,Allan W. Fung,363
Central Falls,Governor,,Ind,Luis Daniel Munoz,120
Central Falls,Governor,,Ind,Joseph A. Trillo,72
Central Falls,Governor,,MOD,William H. Gilbert,44
Central Falls,Governor,,Com,Anne Armstrong,20
Central Falls,Governor,,NON,WRITE-IN,6
Central Falls,Lieutenant Governor,,,Total,2485
Central Falls,Lieutenant Governor,,DEM,Daniel J. McKee,2102
Central Falls,Lieutenant Governor,,REP,Paul E. Pence,260
Central Falls,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,50
Central Falls,Lieutenant Governor,,MOD,Joel J. Hellmann,41
Central Falls,Lieutenant Governor,,Ind,Ross K. McCurdy,24
Central Falls,Lieutenant Governor,,NON,WRITE-IN,8
Central Falls,Secretary of State,,,Total,2475
Central Falls,Secretary of State,,DEM,Nellie M. Gorbea,2156
Central Falls,Secretary of State,,REP,Pat V. Cortellessa,316
Central Falls,Secretary of State,,NON,WRITE-IN,3
Central Falls,Attorney General,,,Total,2418
Central Falls,Attorney General,,DEM,Peter F. Neronha,2139
Central Falls,Attorney General,,Com,Alan Gordon,269
Central Falls,Attorney General,,NON,WRITE-IN,10
Central Falls,General Treasurer,,,Total,2427
Central Falls,General Treasurer,,DEM,Seth Magaziner,2058
Central Falls,General Treasurer,,REP,Michael G. Riley,361
Central Falls,General Treasurer,,NON,WRITE-IN,8
Central Falls,Senator in General Assembly District 16,,,Total,2304
Central Falls,Senator in General Assembly District 16,,DEM,Elizabeth A. Crowley,2237
Central Falls,Senator in General Assembly District 16,,NON,WRITE-IN,67
Central Falls,Representative in General Assembly District 56,,,Total,1541
Central Falls,Representative in General Assembly District 56,,DEM,Shelby Maldonado,1513
Central Falls,Representative in General Assembly District 56,,NON,WRITE-IN,28
Central Falls,Representative in General Assembly District 57,,,Total,714
Central Falls,Representative in General Assembly District 57,,DEM,James N. McLaughlin,698
Central Falls,Representative in General Assembly District 57,,NON,WRITE-IN,16
Central Falls,City Council-At Large CITY OF CENTRAL FALLS,,,Total,3304
Central Falls,City Council-At Large CITY OF CENTRAL FALLS,,NON,L. Maria Rivera,1612
Central Falls,City Council-At Large CITY OF CENTRAL FALLS,,NON,Agostinho F. Silva,742
Central Falls,City Council-At Large CITY OF CENTRAL FALLS,,NON,Carlene Patricia Fonseca,717
Central Falls,City Council-At Large CITY OF CENTRAL FALLS,,NON,Lorraine J. Savard,221
Central Falls,City Council-At Large CITY OF CENTRAL FALLS,,NON,WRITE-IN,12
Central Falls,City Council Central Falls Ward 1,,,Total,367
Central Falls,City Council Central Falls Ward 1,,NON,Jonathon Acosta,363
Central Falls,City Council Central Falls Ward 1,,NON,WRITE-IN,4
Central Falls,City Council Central Falls Ward 2,,,Total,488
Central Falls,City Council Central Falls Ward 2,,NON,Robert A. Ferri,371
Central Falls,City Council Central Falls Ward 2,,NON,Edna S. Poulin,115
Central Falls,City Council Central Falls Ward 2,,NON,WRITE-IN,2
Central Falls,City Council Central Falls Ward 3,,,Total,379
Central Falls,City Council Central Falls Ward 3,,NON,Hugo A. Figueroa,371
Central Falls,City Council Central Falls Ward 3,,NON,WRITE-IN,8
Central Falls,City Council Central Falls Ward 4,,,Total,449
Central Falls,City Council Central Falls Ward 4,,NON,Franklin Solano,440
Central Falls,City Council Central Falls Ward 4,,NON,WRITE-IN,9
Central Falls,City Council Central Falls Ward 5,,,Total,583
Central Falls,City Council Central Falls Ward 5,,NON,Jessica Vega,446
Central Falls,City Council Central Falls Ward 5,,NON,Thomas Lazieh,134
Central Falls,City Council Central Falls Ward 5,,NON,WRITE-IN,3
Central Falls,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,2234
Central Falls,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,2028
Central Falls,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,206
Central Falls,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,2223
Central Falls,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,1784
Central Falls,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,439
Central Falls,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,2182
Central Falls,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,1957
Central Falls,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,225
Central Falls,"4. FINANCE THE DESIGN, CONSTRUCTION, RENOVATION AND",,,Total,2239
Central Falls,"4. FINANCE THE DESIGN, CONSTRUCTION, RENOVATION AND",,NON,Approve,1997
Central Falls,"4. FINANCE THE DESIGN, CONSTRUCTION, RENOVATION AND",,NON,Reject,242
Central Falls,"5. FINANCE THE DESIGN, CONSTRUCTION, RENOVATION, REPAIR",,,Total,2218
Central Falls,"5. FINANCE THE DESIGN, CONSTRUCTION, RENOVATION, REPAIR",,NON,Approve,1906
Central Falls,"5. FINANCE THE DESIGN, CONSTRUCTION, RENOVATION, REPAIR",,NON,Reject,312
Central Falls,"6. FINANCE THE DESIGN, CONSTRUCTION, RENOVATION,",,,Total,2359
Central Falls,"6. FINANCE THE DESIGN, CONSTRUCTION, RENOVATION,",,NON,Approve,1915
Central Falls,"6. FINANCE THE DESIGN, CONSTRUCTION, RENOVATION,",,NON,Reject,444
Central Falls,7. CHARTER AMENDMENT REGARDING CODE OF ETHICS,,,Total,2262
Central Falls,7. CHARTER AMENDMENT REGARDING CODE OF ETHICS,,NON,Approve,1949
Central Falls,7. CHARTER AMENDMENT REGARDING CODE OF ETHICS,,NON,Reject,313
Central Falls,8. CHARTER AMENDMENT REGARDING RAINY DAY FUND,,,Total,2287
Central Falls,8. CHARTER AMENDMENT REGARDING RAINY DAY FUND,,NON,Approve,1787
Central Falls,8. CHARTER AMENDMENT REGARDING RAINY DAY FUND,,NON,Reject,500
Central Falls,9. CHARTER AMENDMENT REGARDING FUNDING THE PENSION,,,Total,2286
Central Falls,9. CHARTER AMENDMENT REGARDING FUNDING THE PENSION,,NON,Approve,1837
Central Falls,9. CHARTER AMENDMENT REGARDING FUNDING THE PENSION,,NON,Reject,449
Central Falls,10. CHARTER AMENDMENT REGARDING DIVERSITY OF LANGUAGES,,,Total,2330
Central Falls,10. CHARTER AMENDMENT REGARDING DIVERSITY OF LANGUAGES,,NON,Approve,1878
Central Falls,10. CHARTER AMENDMENT REGARDING DIVERSITY OF LANGUAGES,,NON,Reject,452
Central Falls,11. CHARTER AMENDMENT REGARDING RECALL OF CITY COUNCIL,,,Total,2296
Central Falls,11. CHARTER AMENDMENT REGARDING RECALL OF CITY COUNCIL,,NON,Approve,1955
Central Falls,11. CHARTER AMENDMENT REGARDING RECALL OF CITY COUNCIL,,NON,Reject,341
Central Falls,12. CHARTER AMENDMENT REGARDING QUORUM OF CITY COUNCIL,,,Total,1998
Central Falls,12. CHARTER AMENDMENT REGARDING QUORUM OF CITY COUNCIL,,NON,Approve,1663
Central Falls,12. CHARTER AMENDMENT REGARDING QUORUM OF CITY COUNCIL,,NON,Reject,335
Charlestown,Senator in Congress,,,Total,3773
Charlestown,Senator in Congress,,DEM,Sheldon Whitehouse,2198
Charlestown,Senator in Congress,,REP,"Robert G. Flanders, Jr.",1566
Charlestown,Senator in Congress,,NON,WRITE-IN,9
Charlestown,Representative in Congress District 2,,,Total,3723
Charlestown,Representative in Congress District 2,,DEM,James R. Langevin,2337
Charlestown,Representative in Congress District 2,,REP,Salvatore G. Caiozzo,1381
Charlestown,Representative in Congress District 2,,NON,WRITE-IN,5
Charlestown,Governor,,,Total,3768
Charlestown,Governor,,DEM,Gina M. Raimondo,2003
Charlestown,Governor,,REP,Allan W. Fung,1361
Charlestown,Governor,,Ind,Joseph A. Trillo,189
Charlestown,Governor,,MOD,William H. Gilbert,118
Charlestown,Governor,,Com,Anne Armstrong,46
Charlestown,Governor,,Ind,Luis Daniel Munoz,42
Charlestown,Governor,,NON,WRITE-IN,9
Charlestown,Lieutenant Governor,,,Total,3653
Charlestown,Lieutenant Governor,,DEM,Daniel J. McKee,2095
Charlestown,Lieutenant Governor,,REP,Paul E. Pence,1243
Charlestown,Lieutenant Governor,,MOD,Joel J. Hellmann,103
Charlestown,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,99
Charlestown,Lieutenant Governor,,Ind,Ross K. McCurdy,90
Charlestown,Lieutenant Governor,,NON,WRITE-IN,23
Charlestown,Secretary of State,,,Total,3656
Charlestown,Secretary of State,,DEM,Nellie M. Gorbea,2312
Charlestown,Secretary of State,,REP,Pat V. Cortellessa,1342
Charlestown,Secretary of State,,NON,WRITE-IN,2
Charlestown,Attorney General,,,Total,3350
Charlestown,Attorney General,,DEM,Peter F. Neronha,2550
Charlestown,Attorney General,,Com,Alan Gordon,776
Charlestown,Attorney General,,NON,WRITE-IN,24
Charlestown,General Treasurer,,,Total,3663
Charlestown,General Treasurer,,DEM,Seth Magaziner,2173
Charlestown,General Treasurer,,REP,Michael G. Riley,1485
Charlestown,General Treasurer,,NON,WRITE-IN,5
Charlestown,Senator in General Assembly District 34,,,Total,1963
Charlestown,Senator in General Assembly District 34,,DEM,Jennifer C. Douglas,1025
Charlestown,Senator in General Assembly District 34,,REP,Elaine J. Morgan,933
Charlestown,Senator in General Assembly District 34,,NON,WRITE-IN,5
Charlestown,Senator in General Assembly District 38,,,Total,1284
Charlestown,Senator in General Assembly District 38,,REP,Dennis L. Algiere,1221
Charlestown,Senator in General Assembly District 38,,NON,WRITE-IN,63
Charlestown,Representative in General Assembly District 36,,,Total,2897
Charlestown,Representative in General Assembly District 36,,REP,Blake A. Filippi,2758
Charlestown,Representative in General Assembly District 36,,NON,WRITE-IN,139
Charlestown,Town Moderator TOWN OF CHARLESTOWN,,,Total,3410
