GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,SUBHD020101,SUBHD020102,SUBHD020103,SUBHD020104,SUBHD020105,SUBHD020106,SUBHD020107,SUBHD0202,HD03
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Total population,Race - One race - Total,Race - One race - White,Race - One race - Black or African American,Race - One race - American Indian and Alaska Native,Race - One race - Asian,Race - One race - Native Hawaiian and Other Pacific Islander,Race - One race - Some Other Race,Race - Two or More Races,Hispanic or Latino (of any race)
0400000US26,26,Michigan,0500000US26087,26087,Michigan - Lapeer County,Lapeer County,88319,87082,84351,922,403,309,9,1088,1237,3622
0400000US26,26,Michigan,0500000US26089,26089,Michigan - Leelanau County,Leelanau County,21708,21345,20207,66,763,92,4,213,363,794
0400000US26,26,Michigan,0500000US26091,26091,Michigan - Lenawee County,Lenawee County,99892,97700,92174,2539,475,519,26,1967,2192,7614
0400000US26,26,Michigan,0500000US26093,26093,Michigan - Livingston County,Livingston County,180967,178690,175015,809,707,1424,76,659,2277,3460
0400000US26,26,Michigan,0500000US26095,26095,Michigan - Luce County,Luce County,6631,6424,5331,737,333,17,3,3,207,82
0400000US26,26,Michigan,0500000US26097,26097,Michigan - Mackinac County,Mackinac County,11113,10522,8499,57,1923,22,2,19,591,126
0400000US26,26,Michigan,0500000US26099,26099,Michigan - Macomb County,Macomb County,840978,823344,717973,72723,2646,25063,179,4760,17634,19095
0400000US26,26,Michigan,0500000US26101,26101,Michigan - Manistee County,Manistee County,24733,24272,22811,723,516,67,14,141,461,634
0400000US26,26,Michigan,0500000US26103,26103,Michigan - Marquette County,Marquette County,67077,65732,62911,1141,1161,385,13,121,1345,767
0400000US26,26,Michigan,0500000US26105,26105,Michigan - Mason County,Mason County,28705,28158,27225,172,289,132,0,340,547,1150
0400000US26,26,Michigan,0500000US26107,26107,Michigan - Mecosta County,Mecosta County,42798,41881,40095,1077,268,279,11,151,917,731
0400000US26,26,Michigan,0500000US26109,26109,Michigan - Menominee County,Menominee County,24029,23744,22891,72,648,70,8,55,285,278
0400000US26,26,Michigan,0500000US26111,26111,Michigan - Midland County,Midland County,83629,82370,79063,1013,369,1556,46,323,1259,1704
0400000US26,26,Michigan,0500000US26113,26113,Michigan - Missaukee County,Missaukee County,14849,14671,14419,43,84,46,1,78,178,306
0400000US26,26,Michigan,0500000US26115,26115,Michigan - Monroe County,Monroe County,152021,149326,143476,3237,467,842,26,1278,2695,4667
0400000US26,26,Michigan,0500000US26117,26117,Michigan - Montcalm County,Montcalm County,63342,62358,59752,1483,298,224,19,582,984,1932
0400000US26,26,Michigan,0500000US26119,26119,Michigan - Montmorency County,Montmorency County,9765,9619,9532,15,43,15,1,13,146,96
0400000US26,26,Michigan,0500000US26121,26121,Michigan - Muskegon County,Muskegon County,172188,167299,137679,24882,1407,941,28,2362,4889,8261
0400000US26,26,Michigan,0500000US26123,26123,Michigan - Newaygo County,Newaygo County,48460,47632,45625,495,372,187,11,942,828,2663
0400000US26,26,Michigan,0500000US26125,26125,Michigan - Oakland County,Oakland County,1202362,1176032,928912,164078,3376,67828,254,11584,26330,41920
0400000US26,26,Michigan,0500000US26127,26127,Michigan - Oceana County,Oceana County,26570,26039,23952,119,285,61,4,1618,531,3629
0400000US26,26,Michigan,0500000US26129,26129,Michigan - Ogemaw County,Ogemaw County,21699,21398,21076,39,157,76,6,44,301,309
0400000US26,26,Michigan,0500000US26131,26131,Michigan - Ontonagon County,Ontonagon County,6780,6693,6594,6,73,11,1,8,87,64
0400000US26,26,Michigan,0500000US26133,26133,Michigan - Osceola County,Osceola County,23528,23150,22791,133,128,49,6,43,378,344
0400000US26,26,Michigan,0500000US26135,26135,Michigan - Oscoda County,Oscoda County,8640,8528,8437,14,49,7,3,18,112,79
0400000US26,26,Michigan,0500000US26137,26137,Michigan - Otsego County,Otsego County,24164,23801,23413,80,160,93,11,44,363,299
0400000US26,26,Michigan,0500000US26139,26139,Michigan - Ottawa County,Ottawa County,263801,258463,237638,3874,1141,6738,74,8998,5338,22761
0400000US26,26,Michigan,0500000US26141,26141,Michigan - Presque Isle County,Presque Isle County,13376,13247,13050,56,89,41,1,10,129,116
0400000US26,26,Michigan,0500000US26143,26143,Michigan - Roscommon County,Roscommon County,24449,24148,23791,91,147,73,2,44,301,275
0400000US26,26,Michigan,0500000US26145,26145,Michigan - Saginaw County,Saginaw County,200169,195193,149272,38114,877,2108,65,4757,4976,15573
0400000US26,26,Michigan,0500000US26147,26147,Michigan - St. Clair County,St. Clair County,163040,159740,153052,3976,729,777,29,1177,3300,4708
0400000US26,26,Michigan,0500000US26149,26149,Michigan - St. Joseph County,St. Joseph County,61295,59954,55519,1600,280,418,2,2135,1341,4034
0400000US26,26,Michigan,0500000US26151,26151,Michigan - Sanilac County,Sanilac County,43114,42600,41649,150,195,144,7,455,514,1439
0400000US26,26,Michigan,0500000US26153,26153,Michigan - Schoolcraft County,Schoolcraft County,8485,8207,7432,11,744,13,0,7,278,64
0400000US26,26,Michigan,0500000US26155,26155,Michigan - Shiawassee County,Shiawassee County,70648,69622,68315,325,350,256,27,349,1026,1695
0400000US26,26,Michigan,0500000US26157,26157,Michigan - Tuscola County,Tuscola County,55729,55035,53578,634,268,160,17,378,694,1571
0400000US26,26,Michigan,0500000US26159,26159,Michigan - Van Buren County,Van Buren County,76258,74227,66129,3100,669,313,17,3999,2031,7758
0400000US26,26,Michigan,0500000US26161,26161,Michigan - Washtenaw County,Washtenaw County,344791,333217,256880,43767,1174,27109,128,4159,11574,13860
0400000US26,26,Michigan,0500000US26163,26163,Michigan - Wayne County,Wayne County,1820584(r45185),1776730,951936,737943,6991,45915,404,33541,43854,95260
