OBJECTID,NAME,Shape__Area,Shape__Length
1,0102,0.000348125976870506,0.153036595592528
2,0101,0.000425938608032084,0.107569174291513
3,0104,0.000508930728983614,0.338227770101942
4,0105,0.000520002513439977,0.297726777189915
5,0103,0.000584032668939471,0.158077562294603
6,0203,0.000748999558027208,0.221844823120156
7,0202,5.5492821502412e-05,0.0411605804353667
8,0209,1.64328557730187e-05,0.0195301444160212
9,0208,0.000116173213200454,0.0475801346260453
10,0205,0.00031551597089674,0.08689172687974
11,0204,0.000375795204718088,0.107474684476012
12,0206,0.00042023294986393,0.114248907257724
13,0207,0.000506024985043041,0.162456027418777
14,0201,0.00020872176287412,0.0818311933245679
15,0301,0.00168509139962225,0.27267535139973
16,0302,0.00577701991073809,0.403871028268138
17,0303,0.00286743826086422,0.428168674190431
18,0304,0.00163556915344998,0.29811950218166
19,0408,8.57277702834836e-05,0.0551824638326326
20,0405,2.27864964017499e-05,0.028743026246484
21,0407,1.02316107586375e-05,0.0234478216547458
22,0403,3.96701047975512e-05,0.0277376966290898
23,0401,7.89764592354913e-05,0.0440775028706802
24,0402,2.67508323759103e-05,0.0242485294788046
25,0404,3.1745195201438e-05,0.0290353307528626
26,0406,6.23041710241523e-05,0.0424938758982363
27,0503,0.00266977600358587,0.730985073189749
28,0501,0.0046103761426366,0.459000680643432
29,0504,0.00111805510664453,0.542539719880075
30,0502,0.00217758557550951,0.209851383243952
31,0603,0.000424170520091138,0.0986436442636047
32,0604,0.00039535879864161,0.0849776435616481
33,0606,0.000916412107017095,0.15435586963903
34,0608,0.000674062682264776,0.168114308905096
35,0601,0.000242450292944341,0.0725980974212051
36,0607,0.000932337537733474,0.19460867552704
37,0605,0.00240639196658776,0.252014900523552
38,0611,0.000372727714875509,0.182995336170602
39,0610,0.000175072651927621,0.0581606207519661
40,0609,0.00138590812525763,0.217094931344137
41,0614,0.000287237664679196,0.0794077203586692
42,0612,0.000237830726746324,0.0842706981643208
43,0616,0.000373322867289971,0.114562688469425
44,0615,0.000398123306922571,0.137364797492714
45,0613,0.000277916662298594,0.141191061781322
46,0617,0.0063354804831306,0.31998182887465
47,0618,0.00153816375586757,0.202020858904379
48,0602,0.000106303549273434,0.0587974109729969
49,0730,0.00206533738105463,0.214555546441506
50,0707,0.000936030287675749,0.155530420326351
51,0706,0.00066476058373155,0.130634075303634
52,0731,0.000224352823352092,0.0992120588347318
53,0716,0.000256036791824954,0.121122237801444
54,0702,0.000152719074094421,0.0824860484407137
55,0703,0.00026447757591086,0.0945283451520996
56,0701,0.000106391902136238,0.0477968508012529
57,0708,0.000446336967797833,0.128880213891081
58,0709,0.000327841440139309,0.0843009077868056
59,0711,0.000205217330176311,0.0605232947414637
60,0712,0.000192663655752767,0.0644732298981471
61,0720,4.21208662828576e-05,0.0317953987877139
62,0719,0.000116137806344341,0.0476265927718089
63,0705,8.33149772461184e-05,0.0622769139581542
64,0704,6.21516282990342e-05,0.0365984464899243
65,0722,7.97066870745766e-05,0.0466908285711868
66,0718,0.000104991822126976,0.0474645035408158
67,0728,0.000137653433512241,0.06128341119352
68,0729,0.000151707966779213,0.0618941795726296
69,0713,0.00030977914889263,0.0778810335127542
70,0717,5.63464436709182e-05,0.0472831959351673
71,0721,0.000117448709715973,0.0676729145213729
72,0726,0.000102449818086825,0.0588873481803994
73,0710,0.000113955229380736,0.0568775961617862
74,0715,0.000117209556265152,0.0518757430793461
75,0714,6.04576343903318e-05,0.0437661750505503
76,0725,0.000257813650250682,0.118924676999359
77,0727,0.000102094693147592,0.0770016518855815
78,0724,9.30827727643191e-05,0.0605757477938156
79,0723,0.000133749088945478,0.0723524817702187
80,0810,0.000248854001029031,0.0880085351039643
81,0805,0.000324684038105261,0.0802206900238597
82,0811,0.000210738162422786,0.0873798046041899
83,0812,0.000662564004869637,0.142977737292232
84,0806,0.000421197247305827,0.137498819538986
85,0801,0.000612252315249862,0.154156273233382
86,0802,0.00022475460809801,0.0822773432200813
87,0807,0.00125549316499018,0.150382154534685
88,0808,0.0017359211042276,0.205579164103464
