,office,district,candidate,party,parent_jurisdiction,jurisdiction,votes,absentee_votes,,
194,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,15,,,,
195,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,18,,,,
196,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,13,,,,
197,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,27,,,,
198,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,26,,,,
199,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,24,,,,
200,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,7,,,,
201,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,17,,,,
202,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,12,,,,
203,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,10,,,,
204,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,19,,,,
205,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,28,,,,
206,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,8,,,,
207,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,2,,,,
208,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,21,,,,
209,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,16,,,,
210,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,14,,,,
211,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,11,,,,
212,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,3,,,,
213,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,22,,,,
214,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,25,,,,
215,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,23,,,,
216,US PRESIDENT,,Write-In (Miscellaneous),,STANLY,20,,,,
217,US PRESIDENT,,Jill Stein (Write-In),,STANLY,13,,,,
218,US PRESIDENT,,Jill Stein (Write-In),,STANLY,15,,,,
219,US PRESIDENT,,Jill Stein (Write-In),,STANLY,18,,,,
220,US PRESIDENT,,Jill Stein (Write-In),,STANLY,23,,,,
221,US PRESIDENT,,Jill Stein (Write-In),,STANLY,20,,,,
222,US PRESIDENT,,Jill Stein (Write-In),,STANLY,14,,,,
223,US PRESIDENT,,Jill Stein (Write-In),,STANLY,3,,,,
224,US PRESIDENT,,Jill Stein (Write-In),,STANLY,22,,,,
225,US PRESIDENT,,Jill Stein (Write-In),,STANLY,25,,,,
226,US PRESIDENT,,Jill Stein (Write-In),,STANLY,16,,,,
227,US PRESIDENT,,Jill Stein (Write-In),,STANLY,11,,,,
228,US PRESIDENT,,Jill Stein (Write-In),,STANLY,12,,,,
229,US PRESIDENT,,Jill Stein (Write-In),,STANLY,2,,,,
230,US PRESIDENT,,Jill Stein (Write-In),,STANLY,10,,,,
231,US PRESIDENT,,Jill Stein (Write-In),,STANLY,8,,,,
232,US PRESIDENT,,Jill Stein (Write-In),,STANLY,21,,,,
233,US PRESIDENT,,Jill Stein (Write-In),,STANLY,28,,,,
234,US PRESIDENT,,Jill Stein (Write-In),,STANLY,19,,,,
235,US PRESIDENT,,Jill Stein (Write-In),,STANLY,17,,,,
236,US PRESIDENT,,Jill Stein (Write-In),,STANLY,7,,,,
237,US PRESIDENT,,Jill Stein (Write-In),,STANLY,27,,,,
238,US PRESIDENT,,Jill Stein (Write-In),,STANLY,26,,,,
239,US PRESIDENT,,Jill Stein (Write-In),,STANLY,24,,,,
240,US PRESIDENT,,Hillary Clinton,D,STANLY,13,204,,,
241,US PRESIDENT,,Hillary Clinton,D,STANLY,15,329,,,
242,US PRESIDENT,,Hillary Clinton,D,STANLY,18,226,,,
243,US PRESIDENT,,Hillary Clinton,D,STANLY,7,543,,,
244,US PRESIDENT,,Hillary Clinton,D,STANLY,26,237,,,
245,US PRESIDENT,,Hillary Clinton,D,STANLY,24,269,,,
246,US PRESIDENT,,Hillary Clinton,D,STANLY,27,436,,,
247,US PRESIDENT,,Hillary Clinton,D,STANLY,8,1026,,,
248,US PRESIDENT,,Hillary Clinton,D,STANLY,10,267,,,
249,US PRESIDENT,,Hillary Clinton,D,STANLY,2,222,,,
250,US PRESIDENT,,Hillary Clinton,D,STANLY,12,115,,,
251,US PRESIDENT,,Hillary Clinton,D,STANLY,19,153,,,
252,US PRESIDENT,,Hillary Clinton,D,STANLY,17,251,,,
253,US PRESIDENT,,Hillary Clinton,D,STANLY,21,107,,,
254,US PRESIDENT,,Hillary Clinton,D,STANLY,28,369,,,
255,US PRESIDENT,,Hillary Clinton,D,STANLY,11,208,,,
256,US PRESIDENT,,Hillary Clinton,D,STANLY,16,268,,,
257,US PRESIDENT,,Hillary Clinton,D,STANLY,14,154,,,
258,US PRESIDENT,,Hillary Clinton,D,STANLY,25,315,,,
259,US PRESIDENT,,Hillary Clinton,D,STANLY,3,673,,,
260,US PRESIDENT,,Hillary Clinton,D,STANLY,22,265,,,
261,US PRESIDENT,,Hillary Clinton,D,STANLY,23,253,,,
262,US PRESIDENT,,Hillary Clinton,D,STANLY,20,204,,,
263,US PRESIDENT,,Gary Johnson,L,STANLY,14,14,,,
264,US PRESIDENT,,Gary Johnson,L,STANLY,11,30,,,
265,US PRESIDENT,,Gary Johnson,L,STANLY,16,16,,,
266,US PRESIDENT,,Gary Johnson,L,STANLY,3,34,,,
267,US PRESIDENT,,Gary Johnson,L,STANLY,20,22,,,
268,US PRESIDENT,,Gary Johnson,L,STANLY,23,37,,,
269,US PRESIDENT,,Gary Johnson,L,STANLY,22,26,,,
270,US PRESIDENT,,Gary Johnson,L,STANLY,25,58,,,
271,US PRESIDENT,,Gary Johnson,L,STANLY,15,19,,,
272,US PRESIDENT,,Gary Johnson,L,STANLY,13,25,,,
273,US PRESIDENT,,Gary Johnson,L,STANLY,18,25,,,
274,US PRESIDENT,,Gary Johnson,L,STANLY,19,23,,,
275,US PRESIDENT,,Gary Johnson,L,STANLY,17,35,,,
276,US PRESIDENT,,Gary Johnson,L,STANLY,7,57,,,
277,US PRESIDENT,,Gary Johnson,L,STANLY,27,40,,,
278,US PRESIDENT,,Gary Johnson,L,STANLY,24,42,,,
279,US PRESIDENT,,Gary Johnson,L,STANLY,26,24,,,
280,US PRESIDENT,,Gary Johnson,L,STANLY,2,38,,,
281,US PRESIDENT,,Gary Johnson,L,STANLY,8,11,,,
282,US PRESIDENT,,Gary Johnson,L,STANLY,10,29,,,
283,US PRESIDENT,,Gary Johnson,L,STANLY,12,14,,,
284,US PRESIDENT,,Gary Johnson,L,STANLY,28,33,,,
285,US PRESIDENT,,Gary Johnson,L,STANLY,21,12,,,
286,US PRESIDENT,,Donald J. Trump,R,STANLY,8,130,,,
287,US PRESIDENT,,Donald J. Trump,R,STANLY,2,560,,,
288,US PRESIDENT,,Donald J. Trump,R,STANLY,21,908,,,
289,US PRESIDENT,,Donald J. Trump,R,STANLY,28,589,,,
290,US PRESIDENT,,Donald J. Trump,R,STANLY,3,909,,,
291,US PRESIDENT,,Donald J. Trump,R,STANLY,22,1064,,,
292,US PRESIDENT,,Donald J. Trump,R,STANLY,23,1758,,,
293,US PRESIDENT,,Donald J. Trump,R,STANLY,25,1859,,,
294,US PRESIDENT,,Donald J. Trump,R,STANLY,20,1528,,,
295,US PRESIDENT,,Donald J. Trump,R,STANLY,11,757,,,
296,US PRESIDENT,,Donald J. Trump,R,STANLY,16,627,,,
297,US PRESIDENT,,Donald J. Trump,R,STANLY,14,611,,,
298,US PRESIDENT,,Donald J. Trump,R,STANLY,18,632,,,
299,US PRESIDENT,,Donald J. Trump,R,STANLY,15,572,,,
300,US PRESIDENT,,Donald J. Trump,R,STANLY,13,1043,,,
301,US PRESIDENT,,Donald J. Trump,R,STANLY,7,928,,,
302,US PRESIDENT,,Donald J. Trump,R,STANLY,26,922,,,
303,US PRESIDENT,,Donald J. Trump,R,STANLY,24,1927,,,
304,US PRESIDENT,,Donald J. Trump,R,STANLY,27,1286,,,
305,US PRESIDENT,,Donald J. Trump,R,STANLY,10,618,,,
306,US PRESIDENT,,Donald J. Trump,R,STANLY,12,605,,,
307,US PRESIDENT,,Donald J. Trump,R,STANLY,19,990,,,
308,US PRESIDENT,,Donald J. Trump,R,STANLY,17,1141,,,
1507,U.S. House,5,Virginia Foxx,R,SURRY,5,1404,,,
1508,U.S. House,5,Virginia Foxx,R,SURRY,2,245,,,
1509,U.S. House,5,Virginia Foxx,R,SURRY,14,814,,,
1510,U.S. House,5,Virginia Foxx,R,SURRY,16,695,,,
1511,U.S. House,5,Virginia Foxx,R,SURRY,19,1052,,,
1512,U.S. House,5,Josh Brannon,D,SURRY,2,169,,,
1513,U.S. House,5,Josh Brannon,D,SURRY,21,369,,,
1514,U.S. House,5,Josh Brannon,D,SURRY,18,342,,,
1515,U.S. House,5,Josh Brannon,D,SURRY,13,335,,,
1516,U.S. House,5,Josh Brannon,D,SURRY,33,317,,,
1517,U.S. House,5,Josh Brannon,D,SURRY,11,245,,,
1518,U.S. House,5,Josh Brannon,D,SURRY,22,202,,,
1519,U.S. House,5,Josh Brannon,D,SURRY,5,282,,,
1520,U.S. House,5,Josh Brannon,D,SURRY,8,289,,,
1521,U.S. House,5,Josh Brannon,D,SURRY,ABSENTEE,,,,
1522,U.S. House,5,Josh Brannon,D,SURRY,20,245,,,
1523,U.S. House,5,Josh Brannon,D,SURRY,16,235,,,
1524,U.S. House,5,Josh Brannon,D,SURRY,19,439,,,
1525,U.S. House,5,Josh Brannon,D,SURRY,14,357,,,
1526,U.S. House,5,Josh Brannon,D,SURRY,25,318,,,
1527,U.S. House,5,Josh Brannon,D,SURRY,28,229,,,
1528,U.S. House,5,Josh Brannon,D,SURRY,4,417,,,
1529,U.S. House,5,Josh Brannon,D,SURRY,7,286,,,
1530,U.S. House,5,Josh Brannon,D,SURRY,27,219,,,
1531,U.S. House,5,Josh Brannon,D,SURRY,1,308,,,
1532,U.S. House,5,Josh Brannon,D,SURRY,15,320,,,
1533,U.S. House,5,Josh Brannon,D,SURRY,26,380,,,
1534,U.S. House,5,Josh Brannon,D,SURRY,10,141,,,
1535,U.S. House,5,Josh Brannon,D,SURRY,9,212,,,
1536,U.S. House,5,Josh Brannon,D,SURRY,3,444,,,
1537,U.S. House,5,Josh Brannon,D,SURRY,6,399,,,
1538,U.S. House,5,Josh Brannon,D,SURRY,23,263,,,
1539,U.S. House,5,Josh Brannon,D,SURRY,24,130,,,
1540,U.S. House,5,Josh Brannon,D,SURRY,17,190,,,
1541,U.S. House,5,Josh Brannon,D,SURRY,12,485,,,
2834,US PRESIDENT,,Write-In (Miscellaneous),,SWAIN,ALARKA,,,,
2835,US PRESIDENT,,Write-In (Miscellaneous),,SWAIN,ALMOND,,,,
2836,US PRESIDENT,,Write-In (Miscellaneous),,SWAIN,WHCH,,,,
2837,US PRESIDENT,,Write-In (Miscellaneous),,SWAIN,BC1,,,,
2838,US PRESIDENT,,Write-In (Miscellaneous),,SWAIN,BC2,,,,
2839,US PRESIDENT,,Jill Stein (Write-In),,SWAIN,BC1,,,,
2840,US PRESIDENT,,Jill Stein (Write-In),,SWAIN,ALMOND,,,,
2841,US PRESIDENT,,Jill Stein (Write-In),,SWAIN,BC2,,,,
2842,US PRESIDENT,,Jill Stein (Write-In),,SWAIN,ALARKA,,,,
2843,US PRESIDENT,,Jill Stein (Write-In),,SWAIN,WHCH,,,,
2844,US PRESIDENT,,Hillary Clinton,D,SWAIN,WHCH,780,,,
2845,US PRESIDENT,,Hillary Clinton,D,SWAIN,ALARKA,163,,,
2846,US PRESIDENT,,Hillary Clinton,D,SWAIN,ALMOND,282,,,
2847,US PRESIDENT,,Hillary Clinton,D,SWAIN,BC1,445,,,
2848,US PRESIDENT,,Hillary Clinton,D,SWAIN,BC2,526,,,
2849,US PRESIDENT,,Gary Johnson,L,SWAIN,ALMOND,34,,,
2850,US PRESIDENT,,Gary Johnson,L,SWAIN,ALARKA,11,,,
2851,US PRESIDENT,,Gary Johnson,L,SWAIN,WHCH,92,,,
2852,US PRESIDENT,,Gary Johnson,L,SWAIN,BC2,36,,,
2853,US PRESIDENT,,Gary Johnson,L,SWAIN,BC1,67,,,
2854,US PRESIDENT,,Donald J. Trump,R,SWAIN,BC1,987,,,
2855,US PRESIDENT,,Donald J. Trump,R,SWAIN,BC2,937,,,
2856,US PRESIDENT,,Donald J. Trump,R,SWAIN,WHCH,682,,,
2857,US PRESIDENT,,Donald J. Trump,R,SWAIN,ALARKA,387,,,
2858,US PRESIDENT,,Donald J. Trump,R,SWAIN,ALMOND,572,,,
2949,U.S. House,5,Virginia Foxx,R,SURRY,10,625,,,
2950,U.S. House,5,Virginia Foxx,R,SURRY,33,638,,,
2951,U.S. House,5,Virginia Foxx,R,SURRY,21,1117,,,
2952,U.S. House,5,Virginia Foxx,R,SURRY,3,1130,,,
2953,U.S. House,5,Virginia Foxx,R,SURRY,6,537,,,
2954,U.S. House,5,Virginia Foxx,R,SURRY,13,566,,,
2955,U.S. House,5,Virginia Foxx,R,SURRY,9,673,,,
2956,U.S. House,5,Virginia Foxx,R,SURRY,18,1094,,,
2957,U.S. House,5,Virginia Foxx,R,SURRY,26,1358,,,
2958,U.S. House,5,Virginia Foxx,R,SURRY,23,733,,,
2959,U.S. House,5,Virginia Foxx,R,SURRY,24,444,,,
2960,U.S. House,5,Virginia Foxx,R,SURRY,17,574,,,
2961,U.S. House,5,Virginia Foxx,R,SURRY,4,953,,,
2962,U.S. House,5,Virginia Foxx,R,SURRY,7,506,,,
2963,U.S. House,5,Virginia Foxx,R,SURRY,15,830,,,
2964,U.S. House,5,Virginia Foxx,R,SURRY,12,858,,,
2965,U.S. House,5,Virginia Foxx,R,SURRY,1,996,,,
2966,U.S. House,5,Virginia Foxx,R,SURRY,27,815,,,
2967,U.S. House,5,Virginia Foxx,R,SURRY,28,680,,,
2968,U.S. House,5,Virginia Foxx,R,SURRY,ABSENTEE,,,,
2969,U.S. House,5,Virginia Foxx,R,SURRY,25,935,,,
2970,U.S. House,5,Virginia Foxx,R,SURRY,8,909,,,
2971,U.S. House,5,Virginia Foxx,R,SURRY,20,454,,,
2972,U.S. House,5,Virginia Foxx,R,SURRY,11,589,,,
2973,U.S. House,5,Virginia Foxx,R,SURRY,22,593,,,
3043,U.S. House,8,Thomas Mills,D,STANLY,22,296,,,
3044,U.S. House,8,Thomas Mills,D,STANLY,3,691,,,
3045,U.S. House,8,Thomas Mills,D,STANLY,14,196,,,
3046,U.S. House,8,Thomas Mills,D,STANLY,11,258,,,
3047,U.S. House,8,Thomas Mills,D,STANLY,16,279,,,
3048,U.S. House,8,Thomas Mills,D,STANLY,10,305,,,
3049,U.S. House,8,Thomas Mills,D,STANLY,8,1005,,,
3050,U.S. House,8,Thomas Mills,D,STANLY,17,309,,,
3051,U.S. House,8,Thomas Mills,D,STANLY,12,137,,,
3052,U.S. House,8,Thomas Mills,D,STANLY,21,142,,,
3053,U.S. House,8,Thomas Mills,D,STANLY,2,269,,,
3054,U.S. House,8,Thomas Mills,D,STANLY,28,401,,,
3055,U.S. House,8,Thomas Mills,D,STANLY,19,195,,,
3056,U.S. House,8,Thomas Mills,D,STANLY,7,574,,,
3057,U.S. House,8,Thomas Mills,D,STANLY,26,271,,,
3058,U.S. House,8,Thomas Mills,D,STANLY,24,307,,,
3059,U.S. House,8,Thomas Mills,D,STANLY,27,486,,,
3060,U.S. House,8,Thomas Mills,D,STANLY,25,332,,,
3061,U.S. House,8,Thomas Mills,D,STANLY,20,232,,,
3062,U.S. House,8,Thomas Mills,D,STANLY,23,309,,,
3063,U.S. House,8,Thomas Mills,D,STANLY,15,363,,,
3064,U.S. House,8,Thomas Mills,D,STANLY,18,243,,,
3065,U.S. House,8,Thomas Mills,D,STANLY,13,258,,,
3066,U.S. House,8,Richard Hudson,R,STANLY,10,574,,,
3067,U.S. House,8,Richard Hudson,R,STANLY,12,572,,,
3068,U.S. House,8,Richard Hudson,R,STANLY,2,517,,,
3069,U.S. House,8,Richard Hudson,R,STANLY,8,134,,,
3070,U.S. House,8,Richard Hudson,R,STANLY,17,1074,,,
3071,U.S. House,8,Richard Hudson,R,STANLY,19,953,,,
3072,U.S. House,8,Richard Hudson,R,STANLY,21,862,,,
3073,U.S. House,8,Richard Hudson,R,STANLY,28,563,,,
3074,U.S. House,8,Richard Hudson,R,STANLY,11,717,,,
3075,U.S. House,8,Richard Hudson,R,STANLY,16,602,,,
3076,U.S. House,8,Richard Hudson,R,STANLY,14,568,,,
3077,U.S. House,8,Richard Hudson,R,STANLY,20,1496,,,
3078,U.S. House,8,Richard Hudson,R,STANLY,3,895,,,
3079,U.S. House,8,Richard Hudson,R,STANLY,25,1852,,,
3080,U.S. House,8,Richard Hudson,R,STANLY,23,1704,,,
3081,U.S. House,8,Richard Hudson,R,STANLY,22,1044,,,
3082,U.S. House,8,Richard Hudson,R,STANLY,18,622,,,
3083,U.S. House,8,Richard Hudson,R,STANLY,15,539,,,
3084,U.S. House,8,Richard Hudson,R,STANLY,13,981,,,
3085,U.S. House,8,Richard Hudson,R,STANLY,27,1237,,,
3086,U.S. House,8,Richard Hudson,R,STANLY,24,1894,,,
3087,U.S. House,8,Richard Hudson,R,STANLY,26,880,,,
3088,U.S. House,8,Richard Hudson,R,STANLY,7,908,,,
3480,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,HARR,,,,
3481,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,ROWA,,,,
3482,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,SBRG,,,,
3483,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,GARL,,,,
3484,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,CLEA,,,,
3485,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,CLNE,,,,
3486,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,HERR,,,,
3487,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,CLCE,,,,
3488,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,ABSENTEE,,,,
3489,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,CLEM,,,,
3490,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,ONE STOP 3,,,,
3491,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,WBRK,,,,
3492,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,INGO,,,,
3493,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,NGRV,,,,
3494,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,GIDD,,,,
3495,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,AUTR,,,,
3496,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,ONE STOP 1,,,,
3497,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,TURK,,,,
3498,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,ONE STOP 4,,,,
3499,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,CLWE,,,,
3500,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,CLSW,,,,
3501,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,KEEN,,,,
3502,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,ROSE,,,,
3503,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,KFRK,,,,
3504,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,LAKE,,,,
3505,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,PLVW,,,,
3506,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,MING,,,,
3507,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,ONE STOP 5,,,,
3508,US PRESIDENT,,Write-In (Miscellaneous),,SAMPSON,ONE STOP 2,,,,
3509,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,SBRG,,,,
3510,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,NGRV,,,,
3511,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,WBRK,,,,
3512,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,CLSW,,,,
3513,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,AUTR,,,,
3514,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,ONE STOP 3,,,,
3515,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,INGO,,,,
3516,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,TURK,,,,
3517,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,ONE STOP 4,,,,
3518,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,ONE STOP 1,,,,
3519,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,CLWE,,,,
3520,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,KFRK,,,,
3521,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,GIDD,,,,
3522,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,KEEN,,,,
3523,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,MING,,,,
3524,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,PLVW,,,,
3525,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,ROSE,,,,
3526,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,CLCE,,,,
3527,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,CLEM,,,,
3528,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,LAKE,,,,
3529,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,HERR,,,,
3530,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,ABSENTEE,,,,
3531,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,CLEA,,,,
3532,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,GARL,,,,
3533,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,CLNE,,,,
3534,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,ONE STOP 2,,,,
3535,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,ONE STOP 5,,,,
3536,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,ROWA,,,,
3537,US PRESIDENT,,Jill Stein (Write-In),,SAMPSON,HARR,,,,
3538,US PRESIDENT,,Hillary Clinton,D,SAMPSON,GARL,513,,,
3539,US PRESIDENT,,Hillary Clinton,D,SAMPSON,ONE STOP 2,,,,
3540,US PRESIDENT,,Hillary Clinton,D,SAMPSON,ONE STOP 5,,,,
3541,US PRESIDENT,,Hillary Clinton,D,SAMPSON,SBRG,206,,,
3542,US PRESIDENT,,Hillary Clinton,D,SAMPSON,CLCE,576,,,
3543,US PRESIDENT,,Hillary Clinton,D,SAMPSON,CLEM,268,,,
3544,US PRESIDENT,,Hillary Clinton,D,SAMPSON,ROWA,495,,,
3545,US PRESIDENT,,Hillary Clinton,D,SAMPSON,ONE STOP 1,,,,
3546,US PRESIDENT,,Hillary Clinton,D,SAMPSON,ONE STOP 4,,,,
3547,US PRESIDENT,,Hillary Clinton,D,SAMPSON,GIDD,427,,,
3548,US PRESIDENT,,Hillary Clinton,D,SAMPSON,HARR,818,,,
3549,US PRESIDENT,,Hillary Clinton,D,SAMPSON,ABSENTEE,,,,
3550,US PRESIDENT,,Hillary Clinton,D,SAMPSON,ONE STOP 3,,,,
3551,US PRESIDENT,,Hillary Clinton,D,SAMPSON,LAKE,1238,,,
3552,US PRESIDENT,,Hillary Clinton,D,SAMPSON,CLWE,470,,,
3553,US PRESIDENT,,Hillary Clinton,D,SAMPSON,TURK,441,,,
3554,US PRESIDENT,,Hillary Clinton,D,SAMPSON,ROSE,249,,,
3555,US PRESIDENT,,Hillary Clinton,D,SAMPSON,INGO,426,,,
3556,US PRESIDENT,,Hillary Clinton,D,SAMPSON,HERR,65,,,
3557,US PRESIDENT,,Hillary Clinton,D,SAMPSON,CLNE,465,,,
3558,US PRESIDENT,,Hillary Clinton,D,SAMPSON,NGRV,299,,,
3559,US PRESIDENT,,Hillary Clinton,D,SAMPSON,CLEA,1240,,,
3560,US PRESIDENT,,Hillary Clinton,D,SAMPSON,CLSW,412,,,
3561,US PRESIDENT,,Hillary Clinton,D,SAMPSON,PLVW,299,,,
3562,US PRESIDENT,,Hillary Clinton,D,SAMPSON,MING,370,,,
3563,US PRESIDENT,,Hillary Clinton,D,SAMPSON,WBRK,263,,,
3564,US PRESIDENT,,Hillary Clinton,D,SAMPSON,KEEN,246,,,
3565,US PRESIDENT,,Hillary Clinton,D,SAMPSON,KFRK,533,,,
3566,US PRESIDENT,,Hillary Clinton,D,SAMPSON,AUTR,228,,,
3567,US PRESIDENT,,Gary Johnson,L,SAMPSON,TURK,12,,,
3568,US PRESIDENT,,Gary Johnson,L,SAMPSON,GIDD,10,,,
3569,US PRESIDENT,,Gary Johnson,L,SAMPSON,ONE STOP 3,,,,
3570,US PRESIDENT,,Gary Johnson,L,SAMPSON,WBRK,24,,,
3571,US PRESIDENT,,Gary Johnson,L,SAMPSON,KEEN,14,,,
3572,US PRESIDENT,,Gary Johnson,L,SAMPSON,CLWE,12,,,
3573,US PRESIDENT,,Gary Johnson,L,SAMPSON,CLSW,22,,,
3574,US PRESIDENT,,Gary Johnson,L,SAMPSON,CLEA,24,,,
3575,US PRESIDENT,,Gary Johnson,L,SAMPSON,CLNE,31,,,
3576,US PRESIDENT,,Gary Johnson,L,SAMPSON,NGRV,25,,,
3577,US PRESIDENT,,Gary Johnson,L,SAMPSON,INGO,13,,,
3578,US PRESIDENT,,Gary Johnson,L,SAMPSON,ONE STOP 1,,,,
3579,US PRESIDENT,,Gary Johnson,L,SAMPSON,CLCE,4,,,
3580,US PRESIDENT,,Gary Johnson,L,SAMPSON,AUTR,14,,,
3581,US PRESIDENT,,Gary Johnson,L,SAMPSON,ONE STOP 4,,,,
3582,US PRESIDENT,,Gary Johnson,L,SAMPSON,CLEM,13,,,
3583,US PRESIDENT,,Gary Johnson,L,SAMPSON,HERR,9,,,
3584,US PRESIDENT,,Gary Johnson,L,SAMPSON,ABSENTEE,,,,
3585,US PRESIDENT,,Gary Johnson,L,SAMPSON,LAKE,16,,,
3586,US PRESIDENT,,Gary Johnson,L,SAMPSON,MING,23,,,
3587,US PRESIDENT,,Gary Johnson,L,SAMPSON,PLVW,35,,,
3588,US PRESIDENT,,Gary Johnson,L,SAMPSON,KFRK,28,,,
3589,US PRESIDENT,,Gary Johnson,L,SAMPSON,ROSE,17,,,
3590,US PRESIDENT,,Gary Johnson,L,SAMPSON,ROWA,18,,,
3591,US PRESIDENT,,Gary Johnson,L,SAMPSON,SBRG,6,,,
3592,US PRESIDENT,,Gary Johnson,L,SAMPSON,ONE STOP 5,,,,
3593,US PRESIDENT,,Gary Johnson,L,SAMPSON,ONE STOP 2,,,,
3594,US PRESIDENT,,Gary Johnson,L,SAMPSON,GARL,8,,,
3595,US PRESIDENT,,Gary Johnson,L,SAMPSON,HARR,15,,,
3596,US PRESIDENT,,Donald J. Trump,R,SAMPSON,CLSW,585,,,
3597,US PRESIDENT,,Donald J. Trump,R,SAMPSON,GIDD,377,,,
3598,US PRESIDENT,,Donald J. Trump,R,SAMPSON,NGRV,663,,,
3599,US PRESIDENT,,Donald J. Trump,R,SAMPSON,CLCE,88,,,
3600,US PRESIDENT,,Donald J. Trump,R,SAMPSON,HERR,476,,,
3601,US PRESIDENT,,Donald J. Trump,R,SAMPSON,CLWE,790,,,
3602,US PRESIDENT,,Donald J. Trump,R,SAMPSON,INGO,367,,,
3603,US PRESIDENT,,Donald J. Trump,R,SAMPSON,ONE STOP 4,,,,
3604,US PRESIDENT,,Donald J. Trump,R,SAMPSON,ONE STOP 1,,,,
3605,US PRESIDENT,,Donald J. Trump,R,SAMPSON,PLVW,1430,,,
