BRUNSWICK,11/6/2018,04A,1181,S,US HOUSE OF REPRESENTATIVES DISTRICT 07,Kyle Horton,DEM,1,721,1946,0,0,2667,Y
BRUNSWICK,11/6/2018,10A,1181,S,US HOUSE OF REPRESENTATIVES DISTRICT 07,Kyle Horton,DEM,1,229,567,0,0,796,Y
BRUNSWICK,11/6/2018,21,1181,S,US HOUSE OF REPRESENTATIVES DISTRICT 07,Kyle Horton,DEM,1,348,341,0,0,689,Y
BRUNSWICK,11/6/2018,CURBSIDE,1181,S,US HOUSE OF REPRESENTATIVES DISTRICT 07,Kyle Horton,DEM,1,0,283,0,0,283,N
BRUNSWICK,11/6/2018,22,1181,S,US HOUSE OF REPRESENTATIVES DISTRICT 07,Kyle Horton,DEM,1,326,280,0,0,606,Y
BRUNSWICK,11/6/2018,5,1181,S,US HOUSE OF REPRESENTATIVES DISTRICT 07,Kyle Horton,DEM,1,219,363,0,0,582,Y
BRUNSWICK,11/6/2018,8,1181,S,US HOUSE OF REPRESENTATIVES DISTRICT 07,Kyle Horton,DEM,1,317,987,0,0,1304,Y
BRUNSWICK,11/6/2018,2,1181,S,US HOUSE OF REPRESENTATIVES DISTRICT 07,Kyle Horton,DEM,1,489,1055,0,0,1544,Y
BUNCOMBE,11/6/2018,OS WABL,1184,S,US HOUSE OF REPRESENTATIVES DISTRICT 10,David Wilson Brown,DEM,1,0,1935,0,0,1935,N
BUNCOMBE,11/6/2018,61.1,1184,S,US HOUSE OF REPRESENTATIVES DISTRICT 10,David Wilson Brown,DEM,1,310,0,32,2,344,Y
BUNCOMBE,11/6/2018,OS NABL,1184,S,US HOUSE OF REPRESENTATIVES DISTRICT 10,David Wilson Brown,DEM,1,0,4289,0,0,4289,N
BUNCOMBE,11/6/2018,60.4,1184,S,US HOUSE OF REPRESENTATIVES DISTRICT 10,David Wilson Brown,DEM,1,131,0,29,3,163,Y
BUNCOMBE,11/6/2018,38.3,1184,S,US HOUSE OF REPRESENTATIVES DISTRICT 10,David Wilson Brown,DEM,1,219,0,35,3,257,Y
BUNCOMBE,11/6/2018,2.1,1184,S,US HOUSE OF REPRESENTATIVES DISTRICT 10,David Wilson Brown,DEM,1,631,0,50,14,695,Y
BUNCOMBE,11/6/2018,6.1,1184,S,US HOUSE OF REPRESENTATIVES DISTRICT 10,David Wilson Brown,DEM,1,240,0,17,2,259,Y
BUNCOMBE,11/6/2018,OS AVML,1184,S,US HOUSE OF REPRESENTATIVES DISTRICT 10,David Wilson Brown,DEM,1,0,5549,0,0,5549,N
