office,district,candidate,party,precinct,votes,absentee_votes
President,,Donald J. Trump,R,East Providence 1004,549,25
President,,Donald J. Trump,R,East Providence 1005,388,47
President,,Donald J. Trump,R,East Providence 1006,34,0
President,,Donald J. Trump,R,East Providence 1007,56,9
President,,Donald J. Trump,R,East Providence 1008,409,36
President,,Donald J. Trump,R,East Providence 1009,578,49
President,,Donald J. Trump,R,East Providence 1010,428,33
President,,Donald J. Trump,R,East Providence 1011,577,52
President,,Donald J. Trump,R,East Providence 1012,299,14
President,,Donald J. Trump,R,East Providence 1013,463,34
President,,Donald J. Trump,R,East Providence 1014,589,18
President,,Donald J. Trump,R,East Providence 1015,219,15
President,,Donald J. Trump,R,East Providence 1016,379,15
President,,Donald J. Trump,R,East Providence 1017,624,48
President,,Donald J. Trump,R,East Providence 1018,245,16
President,,Donald J. Trump,R,East Providence Limited,0,0
President,,Donald J. Trump,R,East Providence Presidential,103,3
President,,Donald J. Trump,R,Exeter 1101,462,31
President,,Donald J. Trump,R,Exeter 1102,577,44
President,,Donald J. Trump,R,Exeter 1103,762,54
President,,Donald J. Trump,R,Exeter Limited,0,0
President,,Donald J. Trump,R,Exeter Presidential,19,0
President,,Donald J. Trump,R,Foster 1201,705,46
President,,Donald J. Trump,R,Foster 1202,639,28
President,,Donald J. Trump,R,Foster Limited,0,0
President,,Donald J. Trump,R,Foster Presidential,30,0
President,,Donald J. Trump,R,Glocester 1301,988,33
President,,Donald J. Trump,R,Glocester 1302,1033,45
President,,Donald J. Trump,R,Glocester 1303,233,8
President,,Donald J. Trump,R,Glocester 1304,621,34
President,,Donald J. Trump,R,Glocester Limited,0,0
President,,Donald J. Trump,R,Glocester Presidential,39,0
President,,Donald J. Trump,R,Hopkinton 1401,986,74
President,,Donald J. Trump,R,Hopkinton 1402,775,56
President,,Donald J. Trump,R,Hopkinton 1403,329,24
President,,Donald J. Trump,R,Hopkinton Limited,0,0
President,,Donald J. Trump,R,Hopkinton Presidential,45,2
President,,Donald J. Trump,R,Jamestown 1501,547,46
President,,Donald J. Trump,R,Jamestown 1502,575,59
President,,Donald J. Trump,R,Jamestown Limited,2,2
President,,Donald J. Trump,R,Jamestown Presidential,24,0
President,,Donald J. Trump,R,Johnston 1601,548,16
President,,Donald J. Trump,R,Johnston 1602,628,21
President,,Donald J. Trump,R,Johnston 1603,609,41
President,,Donald J. Trump,R,Johnston 1604,758,54
President,,Donald J. Trump,R,Johnston 1605,638,17
President,,Donald J. Trump,R,Johnston 1606,130,5
President,,Donald J. Trump,R,Johnston 1607,204,16
President,,Donald J. Trump,R,Johnston 1608,767,31
President,,Donald J. Trump,R,Johnston 1609,611,43
President,,Donald J. Trump,R,Johnston 1610,861,34
President,,Donald J. Trump,R,Johnston 1611,432,20
President,,Donald J. Trump,R,Johnston 1612,592,30
President,,Donald J. Trump,R,Johnston 1613,695,38
President,,Donald J. Trump,R,Johnston Limited,1,0
President,,Donald J. Trump,R,Johnston Presidential,89,3
President,,Donald J. Trump,R,Lincoln 1701,1136,82
President,,Donald J. Trump,R,Lincoln 1702,352,32
President,,Donald J. Trump,R,Lincoln 1703,565,35
President,,Donald J. Trump,R,Lincoln 1704,802,39
President,,Donald J. Trump,R,Lincoln 1705,585,38
President,,Donald J. Trump,R,Lincoln 1706,174,13
President,,Donald J. Trump,R,Lincoln 1707,189,3
President,,Donald J. Trump,R,Lincoln 1708,753,71
President,,Donald J. Trump,R,Lincoln 1709,312,28
President,,Donald J. Trump,R,Lincoln 1710,247,17
President,,Donald J. Trump,R,Lincoln 1711,239,4
President,,Donald J. Trump,R,Lincoln Limited,1,0
President,,Donald J. Trump,R,Lincoln Presidential,55,2
President,,Donald J. Trump,R,Little Compton 1801,814,76
President,,Donald J. Trump,R,Little Compton Limited,0,0
President,,Donald J. Trump,R,Little Compton Presidential,7,0
President,,Donald J. Trump,R,Middletown 1901,467,53
President,,Donald J. Trump,R,Middletown 1902,543,84
President,,Donald J. Trump,R,Middletown 1903,441,74
President,,Donald J. Trump,R,Middletown 1904,696,97
President,,Donald J. Trump,R,Middletown 1905,555,63
President,,Donald J. Trump,R,Middletown Limited,1,0
President,,Donald J. Trump,R,Middletown Presidential,42,14
President,,Donald J. Trump,R,Narragansett 2001,87,8
President,,Donald J. Trump,R,Narragansett 2002,791,58
President,,Donald J. Trump,R,Narragansett 2003,737,52
President,,Donald J. Trump,R,Narragansett 2004,782,87
President,,Donald J. Trump,R,Narragansett 2005,843,102
President,,Donald J. Trump,R,Narragansett Limited,1,0
President,,Donald J. Trump,R,Narragansett Presidential,51,0
President,,Donald J. Trump,R,Newport 2101,277,17
President,,Donald J. Trump,R,Newport 2102,474,46
President,,Donald J. Trump,R,Newport 2103,138,10
President,,Donald J. Trump,R,Newport 2104,110,9
President,,Donald J. Trump,R,Newport 2105,368,40
President,,Donald J. Trump,R,Newport 2106,472,74
President,,Donald J. Trump,R,Newport 2107,562,75
